PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.9,0.86,0.2,0.18,1.4287259293508
0.92,0.84,0.08,0.26,1.14545996495729
0.94,0.8,0.1,0.32,1.12425126057865
0.98,0.88,0.08,0.3,1.1139160067564
0.96,0.82,0.08,0.24,1.24651309159433
0.94,0.88,0.12,0.2,1.29974266665359
0.82,0.8,0.12,0.14,1.37192704613777
0.9,0.8,0.1,0.28,1.14687269916253
0.9,0.86,0.04,0.2,1.16001489998688
0.88,0.8,0.1,0.22,1.23623601199048
0.88,0.82,0.12,0.12,1.4878193968664
0.96,0.8,0.06,0.24,1.23841936977375
0.9,0.9,0.06,0.26,1.05157785485441
0.92,0.82,0.26,0.24,1.44046981277385
0.88,0.92,0.18,0.28,1.12886191010539
0.9,0.86,0.06,0.18,1.2279584610349
0.9,0.86,0.16,0.2,1.32646745775339
0.88,0.88,0.08,0.18,1.21166894260414
0.92,0.82,0.2,0.26,1.3182641139052
0.84,0.84,0.04,0.24,1.03481006985633
0.92,0.74,0.1,0.28,1.22243338600865
0.92,0.86,0.16,0.32,1.12920248685353
0.98,0.86,0.04,0.2,1.25819540790375
0.88,0.84,0.08,0.3,1.03737108866708
0.92,0.82,0.08,0.2,1.28009114433796
0.98,0.82,0.04,0.16,1.39298226047909
0.86,0.9,0.14,0.18,1.25145475326564
0.8,0.82,0.1,0.22,1.11888865553185
0.9,0.86,0.16,0.22,1.284417604303
0.86,0.8,0.14,0.24,1.22687623490133
0.94,0.82,0.12,0.22,1.31815689699006
0.9,0.88,0.14,0.24,1.20127867496181
0.9,0.9,0.14,0.08,1.5556323139131
0.88,0.88,0.18,0.24,1.2298962970851
0.92,0.96,0.08,0.32,0.972856974126671
0.82,0.82,0.1,0.22,1.14339814518001
0.92,0.82,0.14,0.2,1.36600519600432
0.84,0.98,0.08,0.24,0.984933950864542
0.94,0.74,0.04,0.28,1.16585145348108
0.88,0.8,0.08,0.26,1.13285145603006
0.94,0.82,0.1,0.16,1.43077517950013
0.92,0.88,0.12,0.16,1.36347685876659
0.92,0.92,0.16,0.22,1.25132558717757
0.94,0.84,0.08,0.22,1.24333301951838
0.9,0.84,0.16,0.2,1.34754606815365
0.9,0.74,0.14,0.22,1.3832632983866
0.9,0.76,0.14,0.32,1.16142240120536
0.9,0.8,0.08,0.22,1.23299303399793
0.94,0.8,0.1,0.24,1.26879495366878
0.92,0.8,0.26,0.16,1.67837883005577
0.92,0.86,0.22,0.08,1.78483543747533
0.96,0.88,0.18,0.3,1.21072088811336
0.86,0.68,0.12,0.3,1.19452369963027
0.9,0.88,0.08,0.24,1.1242970769048
0.9,0.86,0.08,0.16,1.30066245561666
0.96,0.9,0.08,0.2,1.25002804262479
0.88,0.8,0.1,0.2,1.27870122478846
0.9,0.86,0.02,0.28,1.00116624553604
0.88,0.9,0.06,0.22,1.09322070928597
0.86,0.84,0.14,0.26,1.1543193181243
0.92,0.9,0.08,0.22,1.16543000774039
0.9,0.8,0.02,0.22,1.14856892928388
0.88,0.88,0.18,0.22,1.26830306162799
0.92,0.8,0.08,0.28,1.14392354250084
0.96,0.9,0.14,0.28,1.18079121605501
0.82,0.82,0.1,0.3,1.01117337003699
0.86,0.76,0.16,0.26,1.25232533216124
0.88,0.7,0.1,0.16,1.5057056321876
0.92,0.88,0.16,0.2,1.33020522361625
0.88,0.78,0.14,0.24,1.27048561038915
0.9,0.8,0.12,0.24,1.24783559428506
0.9,0.78,0.14,0.12,1.61036818333742
0.92,0.86,0.12,0.32,1.08282772955491
0.88,0.86,0.12,0.3,1.07110629558355
0.82,0.84,0.16,0.28,1.10129485749223
0.94,0.8,0.12,0.24,1.29603179606005
0.9,0.84,0.1,0.34,1.02448580270423
0.96,0.82,0.14,0.28,1.24797575180429
0.9,0.94,0.1,0.26,1.07103553111667
0.86,0.72,0.08,0.42,0.932658855290382
1,0.8,0.12,0.22,1.41376772170128
0.86,0.86,0.08,0.24,1.09472932881942
0.92,0.88,0.08,0.34,0.996170326858356
0.84,0.78,0.16,0.32,1.10492476921627
0.86,0.8,0.1,0.2,1.25294756465129
1,0.8,0.08,0.3,1.19830398850162
0.9,0.88,0.1,0.28,1.08428872787306
0.92,0.86,0.14,0.14,1.46739083734639
0.92,0.8,0.16,0.2,1.41753265231455
0.88,0.8,0.1,0.32,1.0601928714229
0.9,0.9,0.14,0.22,1.2205802794863
0.86,0.9,0.12,0.16,1.26515169315568
0.88,0.82,0.16,0.14,1.49560259012274
0.94,0.92,0.14,0.18,1.32896007142752
0.94,0.84,0.08,0.2,1.28468465834332
0.92,0.82,0.14,0.28,1.20333483156473
0.98,0.88,0.1,0.28,1.16991653673301
0.84,0.82,0.12,0.3,1.0573468573797
0.86,0.84,0.08,0.18,1.22570948808907
0.9,0.92,0.06,0.28,1.00838497583751
0.92,0.76,0.14,0.28,1.25697422297745
0.92,0.88,0.08,0.26,1.11328792533968
0.92,0.86,0.08,0.28,1.09645873433729
0.88,0.9,0.16,0.2,1.26242798144088
0.98,0.88,0.06,0.24,1.18945031721133
0.9,0.86,0.06,0.3,1.02067960453907
0.98,0.84,0.12,0.2,1.39092086826071
0.9,0.86,0.18,0.32,1.13187457294504
0.9,0.82,0.12,0.28,1.1557867048657
0.84,0.84,0.12,0.26,1.10602030063925
0.9,0.9,0.12,0.22,1.19450744492255
0.82,0.84,0.16,0.22,1.20764083171483
0.94,0.84,0.18,0.26,1.29626325285713
0.9,0.9,0.12,0.2,1.23242747157498
0.9,0.86,0.08,0.16,1.30066245561666
0.96,0.86,0.1,0.22,1.27513074385994
0.98,0.88,0.1,0.22,1.2795177504312
0.94,0.78,0.14,0.22,1.38925775522616
0.9,0.9,0.1,0.18,1.24505151084815
0.86,0.84,0.08,0.3,1.01599124866153
0.9,0.86,0.16,0.24,1.24495184702841
0.9,0.9,0.06,0.24,1.08296758116065
0.92,0.88,0.14,0.28,1.15408603136751
