id,var_id,variable.x,sample_250.x,sample_500.x,variable.y,sample_250.y,sample_500.y
0.05_0.1_1.2_0.9,bias,bias_mis,0.137559498804372,0.102309337016695,bias_single,0.388737826265667,0.372568364508576
0.05_0.1_1.2_0.9,rmse,rmse_mis,0.408554324883676,0.279520268005204,rmse_single,0.516434947552259,0.437785453414483
0.05_0.1_1.2_0.9,sd,sd_mis,0.384892404228349,0.260253937331988,sd_single,0.340152408700413,0.230003953895443
0.05_0.1_2_0.7,bias,bias_mis,0.261483285455097,0.17760737952704,bias_single,0.0596965924894271,0.0303365860262281
0.05_0.1_2_0.7,rmse,rmse_mis,0.693620626004633,0.434315972354147,rmse_single,0.443215774328318,0.286179670497322
0.05_0.1_2_0.7,sd,sd_mis,0.642766842222067,0.396539059621207,sd_single,0.439396869660754,0.284709597500924
0.05_0.1_2_0.8,bias,bias_mis,0.235172034151312,0.209148118280052,bias_single,0.334371174726511,0.318195611416729
0.05_0.1_2_0.8,rmse,rmse_mis,0.648745839115947,0.449164370805384,rmse_single,0.580877434894109,0.454749612956403
0.05_0.1_2_0.8,sd,sd_mis,0.604922482085698,0.397698202763592,sd_single,0.475226632495914,0.325045254967534
0.05_0.1_2_0.9,bias,bias_mis,0.294508556927742,0.240135370953127,bias_single,0.623526160098743,0.590061491266785
0.05_0.1_2_0.9,rmse,rmse_mis,0.661584207287163,0.472153438985447,rmse_single,0.800792450297934,0.687884636855524
0.05_0.1_2_0.9,sd,sd_mis,0.59271382885085,0.406730012251191,sd_single,0.502728965287684,0.353748283379396
0.2_0.01_0.5_0.7,bias,bias_mis,0.00519392648819117,0.00205275881546318,bias_single,-0.00449565409423697,0.00096990995382417
0.2_0.01_0.5_0.7,rmse,rmse_mis,0.145873750300614,0.0919796056139105,rmse_single,0.099072222573873,0.065148185567643
0.2_0.01_0.5_0.7,sd,sd_mis,0.145854199809273,0.0920027093550224,sd_single,0.099019691371319,0.0651735602095506
0.2_0.01_0.5_0.8,bias,bias_mis,0.00635721319040239,0.0055821366121378,bias_single,0.0766190535700063,0.0764346678577267
0.2_0.01_0.5_0.8,rmse,rmse_mis,0.145581910651349,0.0976630380688406,rmse_single,0.135241409290343,0.106200630541382
0.2_0.01_0.5_0.8,sd,sd_mis,0.145515818393575,0.0975521664590802,sd_single,0.111499738154325,0.0737682671214412
0.2_0.01_0.5_0.9,bias,bias_mis,0.0141697508182866,0.0073592900709325,bias_single,0.148701385580098,0.149860071941376
0.2_0.01_0.5_0.9,rmse,rmse_mis,0.153551116525948,0.0959765588855181,rmse_single,0.194783090393397,0.171617735915594
0.2_0.01_0.5_0.9,sd,sd_mis,0.152972429255161,0.0957418780491044,sd_single,0.125873724121381,0.0836756101038202
0.2_0.01_1.2_0.7,bias,bias_mis,0.0816306748033449,0.0395921564356239,bias_single,0.047329748636628,0.0157869486922666
0.2_0.01_1.2_0.7,rmse,rmse_mis,0.402703795078835,0.25206492517903,rmse_single,0.292334371191211,0.189911039945928
0.2_0.01_1.2_0.7,sd,sd_mis,0.394540798833265,0.249060673076181,sd_single,0.288621866905143,0.189348430604809
0.2_0.01_1.2_0.8,bias,bias_mis,0.0885979862477746,0.03485656761538,bias_single,0.22588799748238,0.182295517209822
0.2_0.01_1.2_0.8,rmse,rmse_mis,0.427008844764438,0.246732370841168,rmse_single,0.39695618215761,0.27815651520109
0.2_0.01_1.2_0.8,sd,sd_mis,0.417925366485275,0.24438004034515,sd_single,0.32658150380138,0.210198893738637
0.2_0.01_1.2_0.9,bias,bias_mis,0.0369089084171355,0.0293287098183253,bias_single,0.363317677162942,0.366266805425743
0.2_0.01_1.2_0.9,rmse,rmse_mis,0.368824571368693,0.257869570319714,rmse_single,0.492460921895801,0.434601869255156
0.2_0.01_1.2_0.9,sd,sd_mis,0.367156779898971,0.256324490288361,sd_single,0.332608859937759,0.234055963815267
0.2_0.01_2_0.7,bias,bias_mis,0.104040162559078,0.0616760589076173,bias_single,0.0361006737479133,0.0428190451714285
0.2_0.01_2_0.7,rmse,rmse_mis,0.627649582733733,0.376656484297781,rmse_single,0.432182640516637,0.285793424268155
0.2_0.01_2_0.7,sd,sd_mis,0.619276308627204,0.371758490550633,sd_single,0.430887735215611,0.282708922852791
0.2_0.01_2_0.8,bias,bias_mis,0.132490557478283,0.0570452287334882,bias_single,0.357273119013394,0.302246923360618
0.2_0.01_2_0.8,rmse,rmse_mis,0.67313495261104,0.372283815591798,rmse_single,0.616077949270464,0.443934906635484
0.2_0.01_2_0.8,sd,sd_mis,0.660297591632195,0.368071403111026,sd_single,0.50215547206604,0.325316506617747
0.2_0.01_2_0.9,bias,bias_mis,0.120760932661328,0.0835721076626856,bias_single,0.660577895016622,0.596423178998867
0.2_0.01_2_0.9,rmse,rmse_mis,0.635656310571818,0.3975595757147,rmse_single,0.854790528289304,0.703297744547072
0.2_0.01_2_0.9,sd,sd_mis,0.624392190790742,0.388870852087003,sd_single,0.542769094697436,0.372888931443503
0.2_0.1_0.5_0.7,bias,bias_mis,-0.0162451489537042,-0.0210400963403955,bias_single,0.00237406768233461,-0.00151173780265079
0.2_0.1_0.5_0.7,rmse,rmse_mis,0.144578686106403,0.100452645823417,rmse_single,0.103126046099051,0.0701776283726813
0.2_0.1_0.5_0.7,sd,sd_mis,0.143735003958983,0.0982736287363849,sd_single,0.10315030378935,0.0701964508685784
0.2_0.1_0.5_0.8,bias,bias_mis,-0.00671690883791126,-0.0114720577181095,bias_single,0.0773190961490208,0.074496144086745
0.2_0.1_0.5_0.8,rmse,rmse_mis,0.140270856571691,0.103123291704424,rmse_single,0.134655988004829,0.106614603164758
0.2_0.1_0.5_0.8,sd,sd_mis,0.140180051311893,0.102534474700806,sd_single,0.110300311127802,0.0763074108139625
0.2_0.1_0.5_0.9,bias,bias_mis,-0.00524834615744196,-0.0171382523992205,bias_single,0.147329396534328,0.147620716825953
