PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,PPV_C_e,PPV_C_ne,RR
0.88,0.84,0.93,0.79,1,1,2.05569885466414
0.96,0.82,0.93,0.81,1,1,2.14822872936546
0.89,0.83,0.94,0.82,1,1,2.0522588332941
0.88,0.86,0.92,0.86,1,1,1.90585717252064
0.91,0.74,0.94,0.88,1,1,2.12369050020053
0.92,0.87,0.89,0.88,1,1,1.86144414506837
0.94,0.86,0.95,0.86,1,1,2.01790596038044
0.91,0.78,0.92,0.87,1,1,2.04190407775127
0.88,0.78,0.95,0.85,1,0.98,2.07837078463455
0.93,0.81,0.95,0.79,1,0.98,2.18649924827025
0.91,0.84,0.9,0.86,1,1,1.93489144782467
0.92,0.8,0.96,0.81,0.98,1,2.19704639850306
0.88,0.87,0.95,0.86,1,1,1.93898047474607
0.95,0.88,0.91,0.76,0.98,0.98,2.08635222274014
0.95,0.84,0.9,0.84,1,0.98,1.99816066601264
0.89,0.81,0.95,0.87,1,1,2.02249170084709
0.96,0.82,0.98,0.86,1,0.98,2.13815085245451
0.86,0.89,0.94,0.81,1,1,1.9438686059722
0.9,0.88,0.96,0.85,1,1,1.97606127294354
0.96,0.89,0.98,0.84,1,1,2.07169053937079
0.92,0.94,0.98,0.85,1,1,1.94477806908727
0.88,0.85,0.95,0.89,1,1,1.92512572049523
0.87,0.81,0.94,0.82,1,1,2.06095653264024
0.92,0.81,0.95,0.81,1,1,2.15230253059294
0.94,0.88,0.95,0.8,1,1,2.07816419637564
0.88,0.81,0.95,0.84,1,0.98,2.04679217051939
0.91,0.83,0.9,0.81,1,0.98,2.01367570606185
0.87,0.88,0.97,0.86,1,1,1.94547171565141
0.89,0.85,0.94,0.84,1,1,1.99142888228348
0.91,0.89,0.92,0.86,1,1,1.89703737941971
0.91,0.79,0.91,0.84,1,1,2.05674973304962
0.92,0.84,0.88,0.8,1,1,2.00231644519572
0.92,0.78,0.93,0.88,1,0.98,2.04362694638212
0.88,0.95,0.94,0.83,0.96,1,1.87543540032398
0.88,0.87,0.94,0.84,1,1,1.95145584055765
0.92,0.84,0.95,0.93,1,1,1.92645843272755
0.92,0.86,0.94,0.81,1,1,2.05504106446827
0.85,0.85,0.98,0.83,1,1,2.02654147235545
0.92,0.88,0.94,0.81,1,1,2.02458485561967
0.84,0.83,0.96,0.82,1,0.98,2.01795078190024
0.89,0.87,0.94,0.92,1,1,1.85404210554934
0.9,0.85,0.95,0.82,1,1,2.04892230969447
0.88,0.8,0.95,0.79,0.98,1,2.16710456103654
0.96,0.89,0.87,0.82,0.98,0.98,1.92802510933147
0.92,0.87,0.94,0.9,1,0.98,1.90222037344756
0.9,0.83,0.95,0.81,1,0.98,2.08529540465785
0.91,0.87,0.97,0.82,1,1,2.0617605911644
0.88,0.81,0.92,0.86,1,1,1.97753258775551
0.89,0.89,0.93,0.89,1,0.98,1.84313167109649
0.94,0.85,0.93,0.86,1,1,2.00095824072325
0.93,0.88,0.97,0.87,0.98,1,2.00479653074492
0.93,0.83,0.92,0.78,1,1,2.12973796962886
0.93,0.83,0.96,0.88,1,0.98,2.02750924366436
0.88,0.89,0.95,0.85,0.98,1,1.93483274458385
0.91,0.9,0.94,0.85,1,1,1.92782055473509
0.96,0.85,0.92,0.81,1,1,2.08294564457491
0.87,0.84,0.93,0.84,1,1,1.96783085734821
0.88,0.85,0.93,0.89,1,0.98,1.88495055793691
0.97,0.76,0.96,0.83,1,1,2.28102322645998
0.9,0.77,0.93,0.84,1,1,2.11158157651471
0.87,0.8,0.92,0.82,1,1,2.04315317848342
0.91,0.88,0.91,0.8,1,1,1.97997700848358
0.86,0.88,0.93,0.88,1,0.98,1.83760587017418
0.95,0.86,0.96,0.87,1,1,2.02973044802432
0.94,0.81,0.93,0.81,1,1,2.14170499167265
0.86,0.84,0.94,0.84,1,1,1.97289228088623
0.97,0.87,0.95,0.85,1,1,2.05034089331372
0.93,0.79,0.96,0.84,1,1,2.16400176329375
0.86,0.85,0.94,0.81,0.98,0.98,2.00275523811532
0.96,0.83,0.97,0.88,0.98,0.98,2.08565269683783
0.88,0.77,0.92,0.86,1,1,2.03887494235038
0.94,0.87,0.94,0.79,0.98,0.98,2.09271708522389
0.92,0.86,0.96,0.77,1,1,2.15243552895609
0.89,0.88,0.97,0.84,1,0.98,1.98549899362245
0.93,0.87,0.95,0.93,1,1,1.89707928323404
0.93,0.88,0.91,0.81,1,1,1.98740912007493
0.9,0.81,0.93,0.84,1,0.98,2.03649098477243
0.93,0.83,0.92,0.85,1,1,2.01844192933873
0.9,0.85,0.91,0.84,1,0.98,1.94444108594738
0.9,0.82,0.91,0.82,1,1,2.02944533137166
0.93,0.84,0.97,0.92,1,1,1.98110306922884
0.92,0.84,0.95,0.85,1,1,2.04066076450527
0.92,0.86,0.93,0.85,1,0.98,1.9693842631954
0.91,0.8,0.94,0.92,1,1,1.96974472011608
0.92,0.88,0.95,0.85,1,0.96,1.96267786225101
0.94,0.82,0.95,0.86,1,1,2.07816419637564
0.9,0.86,0.95,0.86,1,1,1.97465938313607
0.9,0.83,0.91,0.87,0.98,0.98,1.94015263444522
0.89,0.86,0.95,0.87,1,1,1.94971430976223
0.93,0.86,0.9,0.83,1,1,1.97133321118933
0.92,0.87,0.92,0.84,1,1,1.96333592154246
0.89,0.85,0.91,0.86,1,1,1.91482301244336
0.94,0.83,0.98,0.87,1,1,2.09546482398356
0.95,0.82,0.95,0.83,1,1,2.13716329853974
0.93,0.83,0.94,0.85,1,0.98,2.04046031189993
0.87,0.85,0.9,0.82,1,1,1.93367885589039
0.95,0.83,0.93,0.84,1,1,2.07237806752462
0.93,0.81,0.94,0.87,1,1,2.0508337746262
0.95,0.75,0.95,0.77,1,1,2.37271220380705
0.91,0.82,0.91,0.89,1,1,1.93660419227996
0.92,0.88,0.92,0.8,1,1,2.00730743023302
0.89,0.82,0.95,0.79,0.98,1,2.14471208735603
0.91,0.88,0.93,0.82,1,1,1.98276442985758
0.89,0.85,0.89,0.93,1,1,1.79156772375522
0.9,0.82,0.94,0.85,1,1,2.03260456790318
0.95,0.86,0.98,0.84,1,0.98,2.09593677778067
0.94,0.83,0.9,0.86,0.98,0.98,1.98244802569578
0.91,0.85,0.97,0.85,1,1,2.04659507256811
0.87,0.86,0.93,0.83,1,1,1.95324899117376
0.91,0.88,0.96,0.86,1,1,1.97259869993699
0.9,0.89,0.94,0.87,1,1,1.90373263935531
0.88,0.88,0.97,0.82,1,1,2.01368298183031
0.92,0.83,0.93,0.86,1,1,2.00850894673407
0.94,0.83,0.95,0.84,1,1,2.09379530282466
0.88,0.83,0.98,0.87,1,0.98,2.01952465485437
0.92,0.84,0.92,0.87,1,1,1.96333592154246
0.89,0.83,0.94,0.82,0.98,0.98,2.05196207811614
0.91,0.89,0.93,0.86,1,1,1.9124289670774
0.9,0.84,0.95,0.85,1,1,2.01855678228114
0.88,0.84,0.97,0.9,1,1,1.95612885332674
0.94,0.81,0.95,0.87,1,1,2.07816419637564
0.87,0.85,0.94,0.79,1,1,2.04509698809952
0.9,0.85,0.97,0.83,1,1,2.06601804524027
0.89,0.84,0.95,0.87,1,1,1.97818756982015
0.88,0.86,0.96,0.8,1,1,2.05828513918099
0.94,0.88,0.9,0.87,0.98,1,1.90763694576283
0.87,0.88,0.92,0.8,1,1,1.95163493470447
0.92,0.86,0.96,0.83,1,1,2.05673667339087
0.93,0.89,0.92,0.84,1,1,1.94581026533139
0.9,0.78,0.95,0.84,1,1,2.12898926966067
0.88,0.85,0.92,0.85,1,1,1.93389467844213
0.9,0.87,0.95,0.86,1,0.96,1.94141857342972
0.88,0.85,0.97,0.89,1,0.96,1.93727557456659
0.87,0.79,0.94,0.87,1,0.98,2.00375778185441
0.91,0.87,0.97,0.82,1,1,2.0617605911644
0.91,0.85,0.94,0.83,1,1,2.02856477641478
0.89,0.94,0.96,0.84,1,1,1.8970634597536
0.95,0.89,0.95,0.79,1,1,2.08929869548135
0.89,0.82,0.96,0.81,1,1,2.11773682594309
0.95,0.82,0.95,0.78,1,0.96,2.19823385628015
0.88,0.85,0.97,0.83,1,1,2.04374904702885
0.89,0.88,0.93,0.89,1,0.98,1.85596403149899
0.88,0.9,0.98,0.88,1,1,1.91684409423045
0.92,0.82,0.9,0.84,1,1,2.00484976237706
0.86,0.83,0.96,0.87,0.98,1,1.98577655597166
0.89,0.81,0.96,0.86,0.98,1,2.06423991332136
0.9,0.87,0.92,0.91,1,1,1.84714118642007
0.95,0.88,0.96,0.84,1,1,2.04444391202262
0.9,0.83,0.86,0.9,1,1,1.81992999129199
0.91,0.85,0.9,0.79,1,0.96,2.00323274957969
0.92,0.79,0.97,0.77,0.98,1,2.3049154057093
0.98,0.83,0.94,0.88,1,1,2.06036173974064
0.92,0.89,0.96,0.83,1,1,2.01200897908934
0.85,0.86,0.9,0.88,1,1,1.81564647539045
0.93,0.85,0.95,0.85,1,1,2.03662114503805
0.94,0.84,0.94,0.93,0.98,0.98,1.93244665904047
0.88,0.85,0.94,0.86,1,1,1.95145584055765
0.93,0.86,0.96,0.87,1,1,2.00826277799201
0.9,0.86,0.94,0.88,1,0.98,1.92158812402187
0.91,0.84,0.95,0.88,1,0.98,1.97571795142184
0.89,0.86,0.93,0.79,0.98,1,2.04606604230727
0.92,0.89,0.97,0.87,0.98,1,1.98016634218537
0.92,0.82,0.92,0.85,1,1,2.0224055808857
0.86,0.88,0.97,0.85,1,1,1.94873906104407
0.9,0.84,0.98,0.87,1,1,2.03660157777104
0.93,0.82,0.97,0.85,1,1,2.11521253812469
0.94,0.88,0.91,0.8,1,0.98,2.00319648801773
0.92,0.82,0.97,0.83,1,0.98,2.12507731925161
0.94,0.87,0.91,0.86,1,0.98,1.93146496857811
0.92,0.83,0.94,0.93,1,1,1.92474660906601
0.91,0.86,0.95,0.86,1,1,1.98547102744716
0.87,0.85,0.95,0.82,1,0.98,2.0049977208858
0.86,0.88,0.94,0.84,1,1,1.91568649856062
0.87,0.78,0.96,0.85,1,0.98,2.08360084262772
0.93,0.84,0.92,0.84,1,1,2.01844192933873
0.92,0.88,0.92,0.86,1,1,1.9212495719493
0.92,0.84,0.95,0.75,1,1,2.20397823431834
0.91,0.84,0.94,0.88,1,1,1.96974472011608
0.95,0.83,0.95,0.91,1,1,1.99972568422257
0.92,0.81,0.9,0.87,1,1,1.97491558494555
0.95,0.88,0.93,0.84,1,0.98,1.9874539794323
0.89,0.84,0.9,0.88,0.98,1,1.89506395819588
0.9,0.84,0.94,0.78,1,1,2.11203386973439
0.95,0.84,0.95,0.86,1,1,2.05856253886325
0.95,0.9,0.97,0.84,1,0.98,2.02089529033389
0.9,0.85,0.91,0.88,1,0.98,1.88873902600862
0.95,0.9,0.95,0.79,1,1,2.07381673784145
0.94,0.85,0.91,0.88,1,1,1.94093097218239
0.87,0.9,0.95,0.84,1,0.98,1.9051980303926
0.88,0.85,0.97,0.85,1,1,2.01368298183031
0.92,0.77,0.95,0.87,1,0.98,2.10813020076624
0.86,0.83,0.9,0.81,1,1,1.96684196522202
0.92,0.86,0.97,0.79,1,1,2.13612847015768
0.88,0.86,0.95,0.89,0.98,1,1.92110571232089
0.96,0.89,0.92,0.87,1,0.98,1.92696387706241
0.94,0.8,0.96,0.83,0.98,0.98,2.17461888812563
0.93,0.92,0.97,0.87,1,1,1.94010074660298
0.87,0.84,0.96,0.88,1,1,1.95795075753387
0.89,0.85,0.94,0.88,0.98,0.98,1.93439768854083
0.89,0.89,0.9,0.81,1,1,1.91295005399947
0.94,0.88,0.99,0.83,0.98,1,2.10592474020058
0.89,0.75,0.97,0.84,1,1,2.20289371451593
0.91,0.87,0.96,0.84,1,1,2.01580988900095
0.9,0.81,0.97,0.85,1,0.98,2.08656444426553
0.92,0.83,0.9,0.85,1,1,1.97491558494555
0.92,0.84,0.93,0.84,1,1,2.02350335287676
0.9,0.9,0.96,0.84,1,1,1.96194156226166
0.86,0.91,0.93,0.86,1,1,1.83350503614652
0.93,0.86,0.92,0.9,1,1,1.90468727704971
0.87,0.86,0.95,0.83,1,1,1.98540080894496
0.98,0.88,0.99,0.81,1,1,2.17127634672003
0.91,0.89,0.94,0.84,1,1,1.95556885162939
0.9,0.88,0.97,0.85,1,1,1.9916744011087
0.95,0.87,0.95,0.89,1,0.98,1.9621376261017
0.92,0.84,0.93,0.86,1,1,1.99373512677018
0.89,0.85,0.96,0.88,0.98,1,1.97510432157469
0.84,0.88,0.94,0.9,1,1,1.81511679899775
0.92,0.84,0.9,0.82,1,1,2.00484976237706
0.91,0.88,0.94,0.85,1,1,1.95556885162939
0.95,0.84,0.95,0.87,1,1,2.04353110932994
0.9,0.92,0.95,0.87,1,1,1.87929847763385
0.93,0.84,0.95,0.86,1,1,2.03662114503805
0.93,0.91,0.95,0.8,0.98,1,2.03166959290549
0.94,0.88,0.9,0.89,1,1,1.87144416961126
0.93,0.83,0.97,0.92,1,1,1.99515837495162
0.91,0.89,0.9,0.88,1,0.98,1.83141918777331
0.95,0.86,0.95,0.88,1,1,1.99972568422257
0.94,0.86,0.9,0.86,1,1,1.93927442372504
0.87,0.81,0.87,0.88,1,1,1.85679353786017
0.89,0.83,0.97,0.86,1,0.98,2.02941574803961
0.92,0.82,0.95,0.91,1,0.98,1.97224992637095
0.88,0.88,0.92,0.81,1,1,1.94822507340022
0.9,0.81,0.88,0.83,1,1,1.97936198629958
0.87,0.79,0.9,0.87,1,1,1.9483334280678
0.88,0.87,0.95,0.82,1,1,1.99645280005702
0.92,0.82,0.93,0.86,1,1,2.02350335287675
0.92,0.9,0.95,0.85,1,1,1.95379367101451
0.92,0.82,0.96,0.88,1,1,2.04160810880308
0.94,0.85,0.95,0.82,1,0.98,2.08312527993468
0.94,0.86,0.93,0.84,1,1,2.01567652059538
0.91,0.81,0.91,0.83,1,1,2.04092256081973
0.87,0.87,0.94,0.83,1,1,1.9548393028848
0.88,0.83,0.96,0.87,1,1,1.99772532115267
0.9,0.88,0.92,0.82,1,1,1.95583607226734
0.94,0.85,0.87,0.91,0.98,0.96,1.83078284996558
0.89,0.86,0.92,0.8,1,0.98,1.99353426380127
0.9,0.86,0.89,0.78,1,1,1.99605643465694
0.9,0.89,0.92,0.84,1,1,1.91360876028292
0.92,0.82,0.9,0.87,1,1,1.96028122007727
0.91,0.9,0.92,0.84,1,1,1.91059243427397
0.92,0.84,0.97,0.87,1,1,2.04254161826344
0.9,0.83,0.95,0.81,1,1,2.09622312480109
0.9,0.86,0.93,0.81,1,1,2.01628682611189
0.93,0.8,0.96,0.9,1,1,2.05257880571568
0.92,0.89,0.96,0.84,1,1,1.99752894297585
0.86,0.82,0.91,0.81,1,0.96,1.97802660902045
0.93,0.77,0.95,0.81,1,1,2.23379214411739
0.9,0.86,0.94,0.86,1,1,1.95893307580499
0.89,0.88,0.92,0.81,1,1,1.95927706451229
0.92,0.81,0.97,0.82,1,0.98,2.15786374358725
0.93,0.8,0.95,0.8,1,0.98,2.18649924827025
0.9,0.83,0.94,0.86,1,1,2.00248087339555
0.88,0.83,0.96,0.85,1,0.98,2.01729741910975
