Power,combination
0.632,0.05_0.05_1.2_0.6_0.5_100_100_50_0.2
0.491,0.05_0.05_1.2_0.6_0.5_100_100_50_0.4
0.99,0.05_0.05_1.2_0.6_0.5_200_200_100_0
0.896,0.05_0.05_1.2_0.6_0.5_200_200_100_0.2
0.785,0.05_0.05_1.2_0.6_0.5_200_200_100_0.4
1,0.05_0.05_1.2_0.6_0.5_300_300_150_0
0.977,0.05_0.05_1.2_0.6_0.5_300_300_150_0.2
0.92,0.05_0.05_1.2_0.6_0.5_300_300_150_0.4
1,0.05_0.05_1.2_0.7_0.5_100_100_50_0
0.988,0.05_0.05_1.2_0.7_0.5_100_100_50_0.2
0.945,0.05_0.05_1.2_0.7_0.5_100_100_50_0.4
1,0.05_0.05_1.2_0.7_0.5_200_200_100_0
1,0.05_0.05_1.2_0.7_0.5_200_200_100_0.2
0.999,0.05_0.05_1.2_0.7_0.5_200_200_100_0.4
1,0.05_0.05_1.2_0.7_0.5_300_300_150_0
1,0.05_0.05_1.2_0.7_0.5_300_300_150_0.2
1,0.05_0.05_1.2_0.7_0.5_300_300_150_0.4
1,0.05_0.05_2_0.3_0.5_100_100_50_0
1,0.05_0.05_2_0.3_0.5_100_100_50_0.2
0.997,0.05_0.05_2_0.3_0.5_100_100_50_0.4
1,0.05_0.05_2_0.3_0.5_200_200_100_0
1,0.05_0.05_2_0.3_0.5_200_200_100_0.2
1,0.05_0.05_2_0.3_0.5_200_200_100_0.4
1,0.05_0.05_2_0.3_0.5_300_300_150_0
1,0.05_0.05_2_0.3_0.5_300_300_150_0.2
1,0.05_0.05_2_0.3_0.5_300_300_150_0.4
0.841,0.05_0.05_2_0.4_0.5_100_100_50_0
0.753,0.05_0.05_2_0.4_0.5_100_100_50_0.2
0.657,0.05_0.05_2_0.4_0.5_100_100_50_0.4
0.993,0.05_0.05_2_0.4_0.5_200_200_100_0
0.967,0.05_0.05_2_0.4_0.5_200_200_100_0.2
0.906,0.05_0.05_2_0.4_0.5_200_200_100_0.4
1,0.05_0.05_2_0.4_0.5_300_300_150_0
0.995,0.05_0.05_2_0.4_0.5_300_300_150_0.2
0.983,0.05_0.05_2_0.4_0.5_300_300_150_0.4
0.048,0.05_0.05_2_0.5_0.5_100_100_50_0
0.0540000000000001,0.05_0.05_2_0.5_0.5_100_100_50_0.2
0.0600000000000001,0.05_0.05_2_0.5_0.5_100_100_50_0.4
0.0510000000000001,0.05_0.05_2_0.5_0.5_200_200_100_0
0.0629999999999999,0.05_0.05_2_0.5_0.5_200_200_100_0.2
0.0560000000000001,0.05_0.05_2_0.5_0.5_200_200_100_0.4
0.0510000000000001,0.05_0.05_2_0.5_0.5_300_300_150_0
0.0520000000000001,0.05_0.05_2_0.5_0.5_300_300_150_0.2
0.0550000000000001,0.05_0.05_2_0.5_0.5_300_300_150_0.4
0.884,0.05_0.05_2_0.6_0.5_100_100_50_0
0.71,0.05_0.05_2_0.6_0.5_100_100_50_0.2
0.577,0.05_0.05_2_0.6_0.5_100_100_50_0.4
0.992,0.05_0.05_2_0.6_0.5_200_200_100_0
0.946,0.05_0.05_2_0.6_0.5_200_200_100_0.2
0.83,0.05_0.05_2_0.6_0.5_200_200_100_0.4
0.999,0.05_0.05_2_0.6_0.5_300_300_150_0
0.991,0.05_0.05_2_0.6_0.5_300_300_150_0.2
0.952,0.05_0.05_2_0.6_0.5_300_300_150_0.4
1,0.05_0.05_2_0.7_0.5_100_100_50_0
0.993,0.05_0.05_2_0.7_0.5_100_100_50_0.2
0.96,0.05_0.05_2_0.7_0.5_100_100_50_0.4
1,0.05_0.05_2_0.7_0.5_200_200_100_0
1,0.05_0.05_2_0.7_0.5_200_200_100_0.2
1,0.05_0.05_2_0.7_0.5_200_200_100_0.4
1,0.05_0.05_2_0.7_0.5_300_300_150_0
1,0.05_0.05_2_0.7_0.5_300_300_150_0.2
1,0.05_0.05_2_0.7_0.5_300_300_150_0.4
1,0.05_0.1_1.2_0.3_0.5_100_100_50_0
1,0.05_0.1_1.2_0.3_0.5_100_100_50_0.2
1,0.05_0.1_1.2_0.3_0.5_100_100_50_0.4
1,0.05_0.1_1.2_0.3_0.5_200_200_100_0
1,0.05_0.1_1.2_0.3_0.5_200_200_100_0.2
1,0.05_0.1_1.2_0.3_0.5_200_200_100_0.4
1,0.05_0.1_1.2_0.3_0.5_300_300_150_0
1,0.05_0.1_1.2_0.3_0.5_300_300_150_0.2
1,0.05_0.1_1.2_0.3_0.5_300_300_150_0.4
0.965,0.05_0.1_1.2_0.4_0.5_100_100_50_0
0.918,0.05_0.1_1.2_0.4_0.5_100_100_50_0.2
0.862,0.05_0.1_1.2_0.4_0.5_100_100_50_0.4
0.998,0.05_0.1_1.2_0.4_0.5_200_200_100_0
0.994,0.05_0.1_1.2_0.4_0.5_200_200_100_0.2
0.988,0.05_0.1_1.2_0.4_0.5_200_200_100_0.4
1,0.05_0.1_1.2_0.4_0.5_300_300_150_0
1,0.05_0.1_1.2_0.4_0.5_300_300_150_0.2
1,0.05_0.1_1.2_0.4_0.5_300_300_150_0.4
0.0560000000000001,0.05_0.1_1.2_0.5_0.5_100_100_50_0
0.0560000000000001,0.05_0.1_1.2_0.5_0.5_100_100_50_0.2
0.081,0.05_0.1_1.2_0.5_0.5_100_100_50_0.4
0.048,0.05_0.1_1.2_0.5_0.5_200_200_100_0
0.0600000000000001,0.05_0.1_1.2_0.5_0.5_200_200_100_0.2
0.0570000000000001,0.05_0.1_1.2_0.5_0.5_200_200_100_0.4
0.0520000000000001,0.05_0.1_1.2_0.5_0.5_300_300_150_0
0.0580000000000001,0.05_0.1_1.2_0.5_0.5_300_300_150_0.2
0.0620000000000001,0.05_0.1_1.2_0.5_0.5_300_300_150_0.4
0.98,0.05_0.1_1.2_0.6_0.5_100_100_50_0
0.881,0.05_0.1_1.2_0.6_0.5_100_100_50_0.2
0.778,0.05_0.1_1.2_0.6_0.5_100_100_50_0.4
1,0.05_0.1_1.2_0.6_0.5_200_200_100_0
0.994,0.05_0.1_1.2_0.6_0.5_200_200_100_0.2
0.972,0.05_0.1_1.2_0.6_0.5_200_200_100_0.4
1,0.05_0.1_1.2_0.6_0.5_300_300_150_0
1,0.05_0.1_1.2_0.6_0.5_300_300_150_0.2
1,0.05_0.1_1.2_0.6_0.5_300_300_150_0.4
1,0.05_0.1_1.2_0.7_0.5_100_100_50_0
0.999,0.05_0.1_1.2_0.7_0.5_100_100_50_0.2
1,0.05_0.1_1.2_0.7_0.5_100_100_50_0.4
1,0.05_0.1_1.2_0.7_0.5_200_200_100_0
1,0.05_0.1_1.2_0.7_0.5_200_200_100_0.2
1,0.05_0.1_1.2_0.7_0.5_200_200_100_0.4
1,0.05_0.1_1.2_0.7_0.5_300_300_150_0
1,0.05_0.1_1.2_0.7_0.5_300_300_150_0.2
1,0.05_0.1_1.2_0.7_0.5_300_300_150_0.4
1,0.05_0.1_2_0.3_0.5_100_100_50_0
1,0.05_0.1_2_0.3_0.5_100_100_50_0.2
1,0.05_0.1_2_0.3_0.5_100_100_50_0.4
1,0.05_0.1_2_0.3_0.5_200_200_100_0
1,0.05_0.1_2_0.3_0.5_200_200_100_0.2
1,0.05_0.1_2_0.3_0.5_200_200_100_0.4
1,0.05_0.1_2_0.3_0.5_300_300_150_0
1,0.05_0.1_2_0.3_0.5_300_300_150_0.2
1,0.05_0.1_2_0.3_0.5_300_300_150_0.4
0.99,0.05_0.1_2_0.4_0.5_100_100_50_0
0.967,0.05_0.1_2_0.4_0.5_100_100_50_0.2
0.934,0.05_0.1_2_0.4_0.5_100_100_50_0.4
1,0.05_0.1_2_0.4_0.5_200_200_100_0
1,0.05_0.1_2_0.4_0.5_200_200_100_0.2
0.997,0.05_0.1_2_0.4_0.5_200_200_100_0.4
1,0.05_0.1_2_0.4_0.5_300_300_150_0
1,0.05_0.1_2_0.4_0.5_300_300_150_0.2
1,0.05_0.1_2_0.4_0.5_300_300_150_0.4
0.0520000000000001,0.05_0.1_2_0.5_0.5_100_100_50_0
0.0600000000000001,0.05_0.1_2_0.5_0.5_100_100_50_0.2
0.0590000000000001,0.05_0.1_2_0.5_0.5_100_100_50_0.4
0.0560000000000001,0.05_0.1_2_0.5_0.5_200_200_100_0
0.05,0.05_0.1_2_0.5_0.5_200_200_100_0.2
0.0600000000000001,0.05_0.1_2_0.5_0.5_200_200_100_0.4
0.05,0.05_0.1_2_0.5_0.5_300_300_150_0
0.039,0.05_0.1_2_0.5_0.5_300_300_150_0.2
0.0560000000000001,0.05_0.1_2_0.5_0.5_300_300_150_0.4
0.993,0.05_0.1_2_0.6_0.5_100_100_50_0
0.929,0.05_0.1_2_0.6_0.5_100_100_50_0.2
0.834,0.05_0.1_2_0.6_0.5_100_100_50_0.4
1,0.05_0.1_2_0.6_0.5_200_200_100_0
0.995,0.05_0.1_2_0.6_0.5_200_200_100_0.2
0.986,0.05_0.1_2_0.6_0.5_200_200_100_0.4
1,0.05_0.1_2_0.6_0.5_300_300_150_0
1,0.05_0.1_2_0.6_0.5_300_300_150_0.2
1,0.05_0.1_2_0.6_0.5_300_300_150_0.4
1,0.05_0.1_2_0.7_0.5_100_100_50_0
1,0.05_0.1_2_0.7_0.5_100_100_50_0.2
0.999,0.05_0.1_2_0.7_0.5_100_100_50_0.4
1,0.05_0.1_2_0.7_0.5_200_200_100_0
1,0.05_0.1_2_0.7_0.5_200_200_100_0.2
1,0.05_0.1_2_0.7_0.5_200_200_100_0.4
1,0.05_0.1_2_0.7_0.5_300_300_150_0
1,0.05_0.1_2_0.7_0.5_300_300_150_0.2
1,0.05_0.1_2_0.7_0.5_300_300_150_0.4
0.629,0.2_0.01_1.2_0.3_0.5_100_100_50_0
0.542,0.2_0.01_1.2_0.3_0.5_100_100_50_0.2
0.487,0.2_0.01_1.2_0.3_0.5_100_100_50_0.4
0.912,0.2_0.01_1.2_0.3_0.5_200_200_100_0
0.833,0.2_0.01_1.2_0.3_0.5_200_200_100_0.2
0.817,0.2_0.01_1.2_0.3_0.5_200_200_100_0.4
0.985,0.2_0.01_1.2_0.3_0.5_300_300_150_0
0.952,0.2_0.01_1.2_0.3_0.5_300_300_150_0.2
0.916,0.2_0.01_1.2_0.3_0.5_300_300_150_0.4
0.234,0.2_0.01_1.2_0.4_0.5_100_100_50_0
0.192,0.2_0.01_1.2_0.4_0.5_100_100_50_0.2
0.158,0.2_0.01_1.2_0.4_0.5_100_100_50_0.4
0.425,0.2_0.01_1.2_0.4_0.5_200_200_100_0
0.322,0.2_0.01_1.2_0.4_0.5_200_200_100_0.2
0.277,0.2_0.01_1.2_0.4_0.5_200_200_100_0.4
0.553,0.2_0.01_1.2_0.4_0.5_300_300_150_0
0.44,0.2_0.01_1.2_0.4_0.5_300_300_150_0.2
0.377,0.2_0.01_1.2_0.4_0.5_300_300_150_0.4
0.0540000000000001,0.2_0.01_1.2_0.5_0.5_100_100_50_0
0.0550000000000001,0.2_0.01_1.2_0.5_0.5_100_100_50_0.2
0.0610000000000001,0.2_0.01_1.2_0.5_0.5_100_100_50_0.4
0.0570000000000001,0.2_0.01_1.2_0.5_0.5_200_200_100_0
0.0550000000000001,0.2_0.01_1.2_0.5_0.5_200_200_100_0.2
0.0520000000000001,0.2_0.01_1.2_0.5_0.5_200_200_100_0.4
0.042,0.2_0.01_1.2_0.5_0.5_300_300_150_0
0.049,0.2_0.01_1.2_0.5_0.5_300_300_150_0.2
0.045,0.2_0.01_1.2_0.5_0.5_300_300_150_0.4
0.248,0.2_0.01_1.2_0.6_0.5_100_100_50_0
0.151,0.2_0.01_1.2_0.6_0.5_100_100_50_0.2
0.154,0.2_0.01_1.2_0.6_0.5_100_100_50_0.4
0.439,0.2_0.01_1.2_0.6_0.5_200_200_100_0
0.289,0.2_0.01_1.2_0.6_0.5_200_200_100_0.2
0.24,0.2_0.01_1.2_0.6_0.5_200_200_100_0.4
0.605,0.2_0.01_1.2_0.6_0.5_300_300_150_0
0.421,0.2_0.01_1.2_0.6_0.5_300_300_150_0.2
0.314,0.2_0.01_1.2_0.6_0.5_300_300_150_0.4
0.78,0.2_0.01_1.2_0.7_0.5_100_100_50_0
0.48,0.2_0.01_1.2_0.7_0.5_100_100_50_0.2
0.386,0.2_0.01_1.2_0.7_0.5_100_100_50_0.4
0.97,0.2_0.01_1.2_0.7_0.5_200_200_100_0
0.808,0.2_0.01_1.2_0.7_0.5_200_200_100_0.2
0.651,0.2_0.01_1.2_0.7_0.5_200_200_100_0.4
0.996,0.2_0.01_1.2_0.7_0.5_300_300_150_0
0.941,0.2_0.01_1.2_0.7_0.5_300_300_150_0.2
0.833,0.2_0.01_1.2_0.7_0.5_300_300_150_0.4
0.725,0.2_0.01_2_0.3_0.5_100_100_50_0
0.608,0.2_0.01_2_0.3_0.5_100_100_50_0.2
0.571,0.2_0.01_2_0.3_0.5_100_100_50_0.4
0.962,0.2_0.01_2_0.3_0.5_200_200_100_0
0.922,0.2_0.01_2_0.3_0.5_200_200_100_0.2
0.848,0.2_0.01_2_0.3_0.5_200_200_100_0.4
0.995,0.2_0.01_2_0.3_0.5_300_300_150_0
0.986,0.2_0.01_2_0.3_0.5_300_300_150_0.2
0.968,0.2_0.01_2_0.3_0.5_300_300_150_0.4
0.259,0.2_0.01_2_0.4_0.5_100_100_50_0
0.225,0.2_0.01_2_0.4_0.5_100_100_50_0.2
0.174,0.2_0.01_2_0.4_0.5_100_100_50_0.4
0.488,0.2_0.01_2_0.4_0.5_200_200_100_0
0.394,0.2_0.01_2_0.4_0.5_200_200_100_0.2
0.321,0.2_0.01_2_0.4_0.5_200_200_100_0.4
0.632,0.2_0.01_2_0.4_0.5_300_300_150_0
0.5,0.2_0.01_2_0.4_0.5_300_300_150_0.2
0.425,0.2_0.01_2_0.4_0.5_300_300_150_0.4
0.0550000000000001,0.2_0.01_2_0.5_0.5_100_100_50_0
0.0520000000000001,0.2_0.01_2_0.5_0.5_100_100_50_0.2
0.0570000000000001,0.2_0.01_2_0.5_0.5_100_100_50_0.4
0.0570000000000001,0.2_0.01_2_0.5_0.5_200_200_100_0
0.064,0.2_0.01_2_0.5_0.5_200_200_100_0.2
0.0550000000000001,0.2_0.01_2_0.5_0.5_200_200_100_0.4
0.0580000000000001,0.2_0.01_2_0.5_0.5_300_300_150_0
0.044,0.2_0.01_2_0.5_0.5_300_300_150_0.2
0.0550000000000001,0.2_0.01_2_0.5_0.5_300_300_150_0.4
0.289,0.2_0.01_2_0.6_0.5_100_100_50_0
0.193,0.2_0.01_2_0.6_0.5_100_100_50_0.2
0.161,0.2_0.01_2_0.6_0.5_100_100_50_0.4
0.511,0.2_0.01_2_0.6_0.5_200_200_100_0
0.331,0.2_0.01_2_0.6_0.5_200_200_100_0.2
0.259,0.2_0.01_2_0.6_0.5_200_200_100_0.4
0.665,0.2_0.01_2_0.6_0.5_300_300_150_0
0.472,0.2_0.01_2_0.6_0.5_300_300_150_0.2
0.361,0.2_0.01_2_0.6_0.5_300_300_150_0.4
0.84,0.2_0.01_2_0.7_0.5_100_100_50_0
0.537,0.2_0.01_2_0.7_0.5_100_100_50_0.2
0.407,0.2_0.01_2_0.7_0.5_100_100_50_0.4
0.987,0.2_0.01_2_0.7_0.5_200_200_100_0
0.843,0.2_0.01_2_0.7_0.5_200_200_100_0.2
0.736,0.2_0.01_2_0.7_0.5_200_200_100_0.4
0.999,0.2_0.01_2_0.7_0.5_300_300_150_0
0.963,0.2_0.01_2_0.7_0.5_300_300_150_0.2
0.879,0.2_0.01_2_0.7_0.5_300_300_150_0.4
0.998,0.2_0.05_1.2_0.3_0.5_100_100_50_0
0.998,0.2_0.05_1.2_0.3_0.5_100_100_50_0.2
0.988,0.2_0.05_1.2_0.3_0.5_100_100_50_0.4
1,0.2_0.05_1.2_0.3_0.5_200_200_100_0
1,0.2_0.05_1.2_0.3_0.5_200_200_100_0.2
1,0.2_0.05_1.2_0.3_0.5_200_200_100_0.4
1,0.2_0.05_1.2_0.3_0.5_300_300_150_0
1,0.2_0.05_1.2_0.3_0.5_300_300_150_0.2
1,0.2_0.05_1.2_0.3_0.5_300_300_150_0.4
0.76,0.2_0.05_1.2_0.4_0.5_100_100_50_0
0.65,0.2_0.05_1.2_0.4_0.5_100_100_50_0.2
0.584,0.2_0.05_1.2_0.4_0.5_100_100_50_0.4
0.977,0.2_0.05_1.2_0.4_0.5_200_200_100_0
0.918,0.2_0.05_1.2_0.4_0.5_200_200_100_0.2
0.831,0.2_0.05_1.2_0.4_0.5_200_200_100_0.4
0.994,0.2_0.05_1.2_0.4_0.5_300_300_150_0
0.987,0.2_0.05_1.2_0.4_0.5_300_300_150_0.2
0.954,0.2_0.05_1.2_0.4_0.5_300_300_150_0.4
0.0520000000000001,0.2_0.05_1.2_0.5_0.5_100_100_50_0
0.064,0.2_0.05_1.2_0.5_0.5_100_100_50_0.2
0.0510000000000001,0.2_0.05_1.2_0.5_0.5_100_100_50_0.4
0.0580000000000001,0.2_0.05_1.2_0.5_0.5_200_200_100_0
0.044,0.2_0.05_1.2_0.5_0.5_200_200_100_0.2
0.0470000000000001,0.2_0.05_1.2_0.5_0.5_200_200_100_0.4
0.0560000000000001,0.2_0.05_1.2_0.5_0.5_300_300_150_0
0.0520000000000001,0.2_0.05_1.2_0.5_0.5_300_300_150_0.2
0.041,0.2_0.05_1.2_0.5_0.5_300_300_150_0.4
0.825,0.2_0.05_1.2_0.6_0.5_100_100_50_0
0.634,0.2_0.05_1.2_0.6_0.5_100_100_50_0.2
0.499,0.2_0.05_1.2_0.6_0.5_100_100_50_0.4
0.984,0.2_0.05_1.2_0.6_0.5_200_200_100_0
0.902,0.2_0.05_1.2_0.6_0.5_200_200_100_0.2
0.797,0.2_0.05_1.2_0.6_0.5_200_200_100_0.4
0.999,0.2_0.05_1.2_0.6_0.5_300_300_150_0
0.975,0.2_0.05_1.2_0.6_0.5_300_300_150_0.2
0.922,0.2_0.05_1.2_0.6_0.5_300_300_150_0.4
1,0.2_0.05_1.2_0.7_0.5_100_100_50_0
0.992,0.2_0.05_1.2_0.7_0.5_100_100_50_0.2
0.946,0.2_0.05_1.2_0.7_0.5_100_100_50_0.4
1,0.2_0.05_1.2_0.7_0.5_200_200_100_0
1,0.2_0.05_1.2_0.7_0.5_200_200_100_0.2
0.997,0.2_0.05_1.2_0.7_0.5_200_200_100_0.4
1,0.2_0.05_1.2_0.7_0.5_300_300_150_0
1,0.2_0.05_1.2_0.7_0.5_300_300_150_0.2
1,0.2_0.05_1.2_0.7_0.5_300_300_150_0.4
0.999,0.2_0.05_2_0.3_0.5_100_100_50_0
0.998,0.2_0.05_2_0.3_0.5_100_100_50_0.2
0.998,0.2_0.05_2_0.3_0.5_100_100_50_0.4
1,0.2_0.05_2_0.3_0.5_200_200_100_0
1,0.2_0.05_2_0.3_0.5_200_200_100_0.2
1,0.2_0.05_2_0.3_0.5_200_200_100_0.4
1,0.2_0.05_2_0.3_0.5_300_300_150_0
1,0.2_0.05_2_0.3_0.5_300_300_150_0.2
1,0.2_0.05_2_0.3_0.5_300_300_150_0.4
0.845,0.2_0.05_2_0.4_0.5_100_100_50_0
0.745,0.2_0.05_2_0.4_0.5_100_100_50_0.2
0.663,0.2_0.05_2_0.4_0.5_100_100_50_0.4
0.99,0.2_0.05_2_0.4_0.5_200_200_100_0
0.965,0.2_0.05_2_0.4_0.5_200_200_100_0.2
0.933,0.2_0.05_2_0.4_0.5_200_200_100_0.4
0.999,0.2_0.05_2_0.4_0.5_300_300_150_0
0.996,0.2_0.05_2_0.4_0.5_300_300_150_0.2
0.987,0.2_0.05_2_0.4_0.5_300_300_150_0.4
0.0620000000000001,0.2_0.05_2_0.5_0.5_100_100_50_0
0.035,0.2_0.05_2_0.5_0.5_100_100_50_0.2
0.077,0.2_0.05_2_0.5_0.5_100_100_50_0.4
0.0570000000000001,0.2_0.05_2_0.5_0.5_200_200_100_0
0.0560000000000001,0.2_0.05_2_0.5_0.5_200_200_100_0.2
0.0629999999999999,0.2_0.05_2_0.5_0.5_200_200_100_0.4
