prop_exp,prev_ne,risk,SE_exp,power,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.1,1.2,0.85,1,200_200_100,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,1.2,0.85,1,300_300_150,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.15,1,100_100_50,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.15,1,200_200_100,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.15,1,300_300_150,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.3,1,100_100_50,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.3,1,200_200_100,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.3,1,300_300_150,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.4,0.92,100_100_50,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.4,0.999,200_200_100,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.4,1,300_300_150,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.5,0.0570000000000001,100_100_50,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.5,0.042,200_200_100,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.5,0.0560000000000001,300_300_150,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,0.86,100_100_50,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,0.984,200_200_100,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.6,0.999,300_300_150,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.7,0.999,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.7,1,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.7,1,300_300_150,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.85,1,100_100_50,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.85,1,200_200_100,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.05,0.1,2,0.85,1,300_300_150,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.15,0.96,100_100_50,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.15,1,200_200_100,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.15,1,300_300_150,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.3,0.499,100_100_50,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.3,0.8,200_200_100,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.3,0.945,300_300_150,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.4,0.165,100_100_50,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.4,0.27,200_200_100,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.4,0.368,300_300_150,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.5,0.048,100_100_50,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.5,0.045,200_200_100,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.5,0.037,300_300_150,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.6,0.113,100_100_50,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.6,0.206,200_200_100,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.6,0.318,300_300_150,0.9,0.6,0.8,0.48,0.78,0.615384615384615,0.75,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.7,0.349,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.7,0.616,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.7,0.808,300_300_150,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.85,0.722,100_100_50,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.85,0.954,200_200_100,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,1.2,0.85,0.994,300_300_150,0.9,0.85,0.8,0.68,0.73,0.931506849315068,0.333333333333334,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.15,0.987,100_100_50,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.15,1,200_200_100,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.15,1,300_300_150,0.9,0.15,0.8,0.12,0.87,0.137931034482759,0.882352941176471,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.3,0.595,100_100_50,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.3,0.878,200_200_100,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.3,0.979,300_300_150,0.9,0.3,0.8,0.24,0.84,0.285714285714286,0.857142857142857,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.4,0.162,100_100_50,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.4,0.313,200_200_100,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.4,0.466,300_300_150,0.9,0.4,0.8,0.32,0.82,0.390243902439024,0.833333333333333,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.5,0.0510000000000001,100_100_50,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
0.2,0.01,2,0.5,0.053,200_200_100,0.9,0.5,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.8,0.5,0.8,0.99,0.99,0.99,0.99
