Power,combination
1,0.1_0.1_1.2_0.7_0.5_100_100_500.2
0.997,0.1_0.1_1.2_0.7_0.5_100_100_500.4
1,0.1_0.1_1.2_0.7_0.5_300_300_1500.2
1,0.1_0.1_1.2_0.7_0.5_300_300_1500.4
1,0.1_0.1_2_0.3_0.5_100_100_500.2
1,0.1_0.1_2_0.3_0.5_100_100_500.4
1,0.1_0.1_2_0.3_0.5_300_300_1500.2
1,0.1_0.1_2_0.3_0.5_300_300_1500.4
0.977,0.1_0.1_2_0.4_0.5_100_100_500.2
0.922,0.1_0.1_2_0.4_0.5_100_100_500.4
1,0.1_0.1_2_0.4_0.5_300_300_1500.2
1,0.1_0.1_2_0.4_0.5_300_300_1500.4
0.0510000000000001,0.1_0.1_2_0.5_0.5_100_100_500.2
0.064,0.1_0.1_2_0.5_0.5_100_100_500.4
0.053,0.1_0.1_2_0.5_0.5_300_300_1500.2
0.0610000000000001,0.1_0.1_2_0.5_0.5_300_300_1500.4
0.939,0.1_0.1_2_0.6_0.5_100_100_500.2
0.814,0.1_0.1_2_0.6_0.5_100_100_500.4
1,0.1_0.1_2_0.6_0.5_300_300_1500.2
0.997,0.1_0.1_2_0.6_0.5_300_300_1500.4
1,0.1_0.1_2_0.7_0.5_100_100_500.2
0.994,0.1_0.1_2_0.7_0.5_100_100_500.4
1,0.1_0.1_2_0.7_0.5_300_300_1500.2
1,0.1_0.1_2_0.7_0.5_300_300_1500.4
0.566,0.2_0.01_1.2_0.3_0.5_100_100_500.2
0.52,0.2_0.01_1.2_0.3_0.5_100_100_500.4
0.964,0.2_0.01_1.2_0.3_0.5_300_300_1500.2
0.93,0.2_0.01_1.2_0.3_0.5_300_300_1500.4
0.173,0.2_0.01_1.2_0.4_0.5_100_100_500.2
0.154,0.2_0.01_1.2_0.4_0.5_100_100_500.4
0.44,0.2_0.01_1.2_0.4_0.5_300_300_1500.2
0.352,0.2_0.01_1.2_0.4_0.5_300_300_1500.4
0.05,0.2_0.01_1.2_0.5_0.5_100_100_500.2
0.046,0.2_0.01_1.2_0.5_0.5_100_100_500.4
0.064,0.2_0.01_1.2_0.5_0.5_300_300_1500.2
0.043,0.2_0.01_1.2_0.5_0.5_300_300_1500.4
0.166,0.2_0.01_1.2_0.6_0.5_100_100_500.2
0.141,0.2_0.01_1.2_0.6_0.5_100_100_500.4
0.45,0.2_0.01_1.2_0.6_0.5_300_300_1500.2
0.296,0.2_0.01_1.2_0.6_0.5_300_300_1500.4
0.549,0.2_0.01_1.2_0.7_0.5_100_100_500.2
0.354,0.2_0.01_1.2_0.7_0.5_100_100_500.4
0.963,0.2_0.01_1.2_0.7_0.5_300_300_1500.2
0.808,0.2_0.01_1.2_0.7_0.5_300_300_1500.4
0.679,0.2_0.01_2_0.3_0.5_100_100_500.2
0.606,0.2_0.01_2_0.3_0.5_100_100_500.4
0.989,0.2_0.01_2_0.3_0.5_300_300_1500.2
0.978,0.2_0.01_2_0.3_0.5_300_300_1500.4
0.213,0.2_0.01_2_0.4_0.5_100_100_500.2
0.189,0.2_0.01_2_0.4_0.5_100_100_500.4
0.539,0.2_0.01_2_0.4_0.5_300_300_1500.2
0.445,0.2_0.01_2_0.4_0.5_300_300_1500.4
0.046,0.2_0.01_2_0.5_0.5_100_100_500.2
0.0610000000000001,0.2_0.01_2_0.5_0.5_100_100_500.4
0.039,0.2_0.01_2_0.5_0.5_300_300_1500.2
0.034,0.2_0.01_2_0.5_0.5_300_300_1500.4
0.196,0.2_0.01_2_0.6_0.5_100_100_500.2
0.136,0.2_0.01_2_0.6_0.5_100_100_500.4
0.495,0.2_0.01_2_0.6_0.5_300_300_1500.2
0.329,0.2_0.01_2_0.6_0.5_300_300_1500.4
0.61,0.2_0.01_2_0.7_0.5_100_100_500.2
0.417,0.2_0.01_2_0.7_0.5_100_100_500.4
0.962,0.2_0.01_2_0.7_0.5_300_300_1500.2
0.843,0.2_0.01_2_0.7_0.5_300_300_1500.4
1,0.2_0.1_1.2_0.3_0.5_100_100_500.2
1,0.2_0.1_1.2_0.3_0.5_100_100_500.4
1,0.2_0.1_1.2_0.3_0.5_300_300_1500.2
1,0.2_0.1_1.2_0.3_0.5_300_300_1500.4
0.934,0.2_0.1_1.2_0.4_0.5_100_100_500.2
0.849,0.2_0.1_1.2_0.4_0.5_100_100_500.4
1,0.2_0.1_1.2_0.4_0.5_300_300_1500.2
1,0.2_0.1_1.2_0.4_0.5_300_300_1500.4
0.0580000000000001,0.2_0.1_1.2_0.5_0.5_100_100_500.2
0.0510000000000001,0.2_0.1_1.2_0.5_0.5_100_100_500.4
0.0520000000000001,0.2_0.1_1.2_0.5_0.5_300_300_1500.2
0.045,0.2_0.1_1.2_0.5_0.5_300_300_1500.4
0.912,0.2_0.1_1.2_0.6_0.5_100_100_500.2
0.785,0.2_0.1_1.2_0.6_0.5_100_100_500.4
1,0.2_0.1_1.2_0.6_0.5_300_300_1500.2
0.998,0.2_0.1_1.2_0.6_0.5_300_300_1500.4
1,0.2_0.1_1.2_0.7_0.5_100_100_500.2
0.995,0.2_0.1_1.2_0.7_0.5_100_100_500.4
1,0.2_0.1_1.2_0.7_0.5_300_300_1500.2
1,0.2_0.1_1.2_0.7_0.5_300_300_1500.4
1,0.2_0.1_2_0.3_0.5_100_100_500.2
1,0.2_0.1_2_0.3_0.5_100_100_500.4
1,0.2_0.1_2_0.3_0.5_300_300_1500.2
1,0.2_0.1_2_0.3_0.5_300_300_1500.4
0.979,0.2_0.1_2_0.4_0.5_100_100_500.2
0.926,0.2_0.1_2_0.4_0.5_100_100_500.4
1,0.2_0.1_2_0.4_0.5_300_300_1500.2
1,0.2_0.1_2_0.4_0.5_300_300_1500.4
0.053,0.2_0.1_2_0.5_0.5_100_100_500.2
0.071,0.2_0.1_2_0.5_0.5_100_100_500.4
0.0470000000000001,0.2_0.1_2_0.5_0.5_300_300_1500.2
0.0550000000000001,0.2_0.1_2_0.5_0.5_300_300_1500.4
0.945,0.2_0.1_2_0.6_0.5_100_100_500.2
0.839,0.2_0.1_2_0.6_0.5_100_100_500.4
1,0.2_0.1_2_0.6_0.5_300_300_1500.2
0.999,0.2_0.1_2_0.6_0.5_300_300_1500.4
1,0.2_0.1_2_0.7_0.5_100_100_500.2
0.998,0.2_0.1_2_0.7_0.5_100_100_500.4
1,0.2_0.1_2_0.7_0.5_300_300_1500.2
1,0.2_0.1_2_0.7_0.5_300_300_1500.4
