PPV_A_e,PPV_A_ne,PPV_B_e,PPV_B_ne,RR
0.94,0.88,0.74,0.7,2.01832577284053
0.94,0.84,0.66,0.72,2.03068719227999
0.9,0.78,0.74,0.7,2.10007641570951
1,0.86,0.74,0.8,2.05994444883041
0.92,0.76,0.74,0.72,2.15228202554149
0.9,0.8,0.68,0.8,1.94272870458968
0.96,0.88,0.78,0.76,2.01052705547294
0.94,0.8,0.68,0.74,2.08030384294448
0.96,0.86,0.66,0.86,1.90600513706636
0.96,0.7,0.7,0.76,2.28028423688942
0.98,0.92,0.7,0.8,1.92683445679294
0.94,0.84,0.72,0.68,2.09430037492723
0.94,0.74,0.7,0.78,2.14360462751276
0.86,0.9,0.7,0.76,1.77581167743912
0.9,0.9,0.64,0.88,1.72946938271778
0.92,0.88,0.74,0.78,1.90598431016093
0.9,0.92,0.72,0.68,1.89855333595826
0.94,0.88,0.78,0.68,2.05261417613859
0.84,0.92,0.86,0.78,1.75253653743299
0.98,0.8,0.76,0.74,2.18758858253537
0.98,0.82,0.76,0.74,2.15413987648121
0.88,0.8,0.76,0.74,1.99285798979839
0.96,0.86,0.7,0.78,1.99294390039938
0.96,0.88,0.68,0.76,1.97626529791867
0.94,0.88,0.64,0.78,1.90802154282053
0.94,0.88,0.72,0.72,1.9916907655273
0.96,0.88,0.72,0.82,1.93454823089751
0.96,0.84,0.58,0.76,1.99992124915862
0.98,0.86,0.66,0.78,2.01566969208166
0.92,0.88,0.7,0.84,1.84018937731235
0.94,0.86,0.62,0.8,1.91056498280773
0.96,0.8,0.78,0.8,2.09173018825325
0.94,0.82,0.7,0.76,2.03520865241864
0.92,0.86,0.68,0.88,1.82546761160533
0.94,0.8,0.64,0.74,2.06560759169643
0.98,0.88,0.66,0.7,2.06488716709186
0.98,0.78,0.78,0.78,2.18411845931655
0.96,0.86,0.8,0.62,2.19596956235266
0.96,0.84,0.64,0.92,1.87368100153857
0.92,0.86,0.72,0.7,2.00375177484383
0.94,0.8,0.78,0.7,2.16130978306983
0.94,0.86,0.74,0.8,1.95149006073289
0.96,0.86,0.64,0.8,1.95353729182777
0.96,0.82,0.76,0.76,2.09466702280885
0.96,0.84,0.7,0.6,2.21665514479156
0.94,0.8,0.78,0.74,2.11704447106461
0.94,0.8,0.72,0.76,2.07376394178455
0.96,0.86,0.74,0.82,1.96892575996063
0.94,0.84,0.72,0.8,1.97310846006568
0.92,0.88,0.68,0.68,1.97923088576423
0.94,0.86,0.66,0.78,1.94267289040718
0.96,0.8,0.7,0.74,2.1265980871159
0.84,0.86,0.8,0.74,1.84377364983357
0.92,0.84,0.76,0.84,1.91336234105524
0.98,0.78,0.86,0.8,2.19103957979201
0.9,0.82,0.74,0.82,1.91621076833477
0.94,0.92,0.62,0.68,1.93728627937721
0.9,0.84,0.7,0.84,1.85700744340397
0.96,0.82,0.78,0.76,2.10183055824208
0.96,0.82,0.76,0.8,2.0536629941092
0.98,0.84,0.76,0.78,2.08037429122886
0.98,0.9,0.62,0.68,2.04042121407861
0.98,0.88,0.76,0.8,2.00176159703259
0.94,0.76,0.76,0.8,2.11040144417698
0.88,0.88,0.72,0.74,1.86248195013647
0.88,0.84,0.74,0.8,1.86998860830899
0.92,0.8,0.68,0.84,1.94192725793053
0.94,0.92,0.76,0.8,1.87714275290906
1,0.86,0.7,0.86,1.98956684974518
0.96,0.84,0.74,0.74,2.07679877562185
0.94,0.76,0.66,0.72,2.16224715841281
0.96,0.9,0.68,0.7,2.004668306278
0.98,0.9,0.7,0.8,1.95382858028402
0.94,0.84,0.56,0.86,1.86381649850007
0.96,0.86,0.82,0.82,1.99595224309162
0.94,0.84,0.64,0.88,1.8731625931987
0.98,0.92,0.62,0.72,1.97257504429569
0.98,0.9,0.68,0.84,1.91187041575893
0.96,0.88,0.66,0.76,1.96941294640781
0.92,0.9,0.7,0.76,1.88321185727852
0.94,0.92,0.7,0.74,1.90973034945952
0.94,0.88,0.82,0.82,1.93254882361214
0.96,0.84,0.7,0.78,2.02237295601759
0.92,0.84,0.82,0.7,2.0708959213202
0.98,0.86,0.74,0.82,2.00473681810644
0.98,0.9,0.8,0.8,1.98697724060273
0.98,0.78,0.72,0.7,2.25405737529425
0.9,0.88,0.56,0.82,1.77533528560808
0.98,0.9,0.74,0.78,1.98543191244969
0.96,0.86,0.78,0.86,1.94579552395652
0.94,0.88,0.82,0.8,1.95065779133403
0.96,0.76,0.7,0.9,2.02365891762245
0.98,0.88,0.74,0.68,2.11388685047162
0.94,0.78,0.72,0.9,1.96456204532211
0.96,0.84,0.78,0.78,2.0503249242423
0.94,0.94,0.72,0.86,1.79039054111803
0.94,0.86,0.74,0.78,1.97021810871711
0.96,0.8,0.66,0.84,2.00903530632124
0.96,0.8,0.72,0.74,2.13394621273993
0.94,0.88,0.78,0.78,1.95553428160231
0.92,0.76,0.74,0.9,1.96352196880663
0.96,0.82,0.76,0.64,2.22812945202862
0.98,0.84,0.7,0.78,2.05941031506033
0.9,0.88,0.66,0.84,1.79200670673989
0.94,0.96,0.78,0.74,1.88312107875269
1,0.88,0.78,0.68,2.16589666424205
1,0.9,0.66,0.82,1.95762073185199
0.98,0.88,0.7,0.76,2.01943609414931
0.92,0.84,0.68,0.8,1.9225871193007
0.92,0.9,0.78,0.82,1.85776757182069
0.98,0.8,0.72,0.7,2.21832536697118
0.92,0.84,0.72,0.76,1.97451505710766
0.96,0.88,0.8,0.76,2.0173794069838
0.9,0.72,0.78,0.7,2.22273051761375
0.92,0.86,0.72,0.72,1.98395214299787
0.98,0.74,0.76,0.82,2.19995531208131
1,0.76,0.82,0.86,2.18226640719229
0.9,0.84,0.56,0.82,1.82676500976074
0.92,0.8,0.7,0.78,2.00758886250134
1,0.92,0.78,0.84,1.95206720729593
0.98,0.88,0.72,0.76,2.02628844566016
1,0.8,0.56,0.86,2.02842241972411
0.92,0.82,0.68,0.76,1.99007735289487
0.98,0.82,0.7,0.68,2.19895408583079
0.96,0.8,0.74,0.88,1.99806740606394
0.94,0.88,0.72,0.72,1.9916907655273
0.94,0.82,0.52,0.74,1.99060937447571
1,0.78,0.82,0.82,2.19280738416317
0.94,0.82,0.78,0.8,2.0234617717828
0.92,0.88,0.72,0.72,1.95466517069368
0.94,0.86,0.72,0.72,2.02153249656291
0.94,0.9,0.72,0.7,1.9817295584711
1,0.88,0.68,0.84,1.97351793291468
0.94,0.9,0.82,0.84,1.88843453973097
0.98,0.8,0.76,0.76,2.1654138987855
0.96,0.86,0.66,0.72,2.03784152687746
0.98,0.82,0.76,0.76,2.1326347868994
0.96,0.88,0.72,0.84,1.91675400956143
0.98,0.88,0.68,0.84,1.93853573493945
0.96,0.84,0.74,0.86,1.95999908710768
0.94,0.9,0.66,0.88,1.80363523204458
0.9,0.82,0.7,0.78,1.9399067548578
0.98,0.8,0.72,0.82,2.08738959367492
0.94,0.82,0.74,0.72,2.09129104451082
0.88,0.78,0.8,0.62,2.17496094447588
0.9,0.76,0.8,0.72,2.1346522505278
0.9,0.84,0.68,0.82,1.86789193251364
0.98,0.82,0.78,0.72,2.18339256921118
0.96,0.84,0.74,0.82,1.9974446852399
0.94,0.84,0.64,0.86,1.89072044954875
0.94,0.8,0.66,0.7,2.11629917696637
0.96,0.86,0.72,0.82,1.96216913917788
0.94,0.84,0.78,0.74,2.05327931180318
0.94,0.84,0.7,0.84,1.92897946165231
0.96,0.86,0.66,0.72,2.03784152687746
0.9,0.86,0.64,0.88,1.77749835687794
0.94,0.8,0.78,0.74,2.11704447106461
0.98,0.84,0.76,0.74,2.12169864197418
0.92,0.78,0.66,0.62,2.20362237172455
0.94,0.86,0.72,0.78,1.96333180413962
0.96,0.88,0.72,0.7,2.04866092040844
0.96,0.8,0.72,0.8,2.0703428552998
0.96,0.84,0.78,0.74,2.09105237731096
0.94,0.9,0.7,0.68,1.99409496898767
0.96,0.88,0.78,0.8,1.97284772845498
0.98,0.9,0.78,0.74,2.03680300102343
0.92,0.9,0.7,0.74,1.90110731121556
1,0.82,0.66,0.8,2.09299552053729
0.96,0.86,0.66,0.8,1.96035813814863
1,0.9,0.74,0.76,2.03992118847816
0.92,0.72,0.72,0.78,2.14536503861986
0.94,0.9,0.78,0.76,1.94603010005254
0.92,0.78,0.7,0.84,1.97813716513406
1,0.82,0.78,0.78,2.15624003069843
0.94,0.9,0.7,0.78,1.90111637794127
0.96,0.86,0.76,0.76,2.03311419208496
0.92,0.88,0.7,0.76,1.91048075998996
0.96,0.8,0.74,0.72,2.1634488997566
0.96,0.84,0.64,0.86,1.92636914829682
0.96,0.9,0.68,0.8,1.91206031846409
0.92,0.92,0.72,0.78,1.84623555605309
0.92,0.84,0.74,0.8,1.94334890667424
0.98,0.78,0.76,0.78,2.17680655061451
0.9,0.88,0.78,0.7,1.9576554777047
0.98,0.82,0.68,0.74,2.12519679175225
0.96,0.92,0.74,0.82,1.88805450613101
0.96,0.76,0.76,0.7,2.26539183000828
0.9,0.86,0.68,0.82,1.84122272317495
0.98,0.82,0.8,0.78,2.12574028540447
0.94,0.84,0.66,0.78,1.9713596128625
0.96,0.82,0.62,0.66,2.1519378046808
0.9,0.9,0.72,0.84,1.78688529418045
0.94,0.9,0.76,0.8,1.90344071696288
1,0.82,0.78,0.76,2.17776608642318
0.98,0.88,0.78,0.74,2.06658026033537
0.96,0.92,0.76,0.78,1.92937547420924
0.94,0.84,0.8,0.7,2.10216327768149
0.94,0.9,0.74,0.88,1.82920903114553
0.96,0.94,0.72,0.76,1.90712452663883
0.94,0.82,0.78,0.74,2.08467439984483
0.96,0.88,0.76,0.72,2.04268790526909
0.98,0.84,0.78,0.66,2.21689792857603
0.96,0.88,0.64,0.8,1.92578020825834
0.92,0.88,0.72,0.7,1.97388172438812
0.84,0.9,0.72,0.7,1.79752748008685
0.92,0.82,0.78,0.86,1.92957871474466
0.98,0.86,0.7,0.72,2.0896027626095
0.94,0.86,0.62,0.86,1.85759254957859
0.92,0.88,0.7,0.92,1.77488683547342
1,0.92,0.7,0.78,1.9795241115962
0.98,0.74,0.76,0.8,2.22284681253911
0.96,0.84,0.74,0.82,1.9974446852399
0.96,0.82,0.78,0.74,2.12302502375414
1,0.9,0.76,0.86,1.95467715327422
0.96,0.82,0.78,0.88,1.98304821725476
0.94,0.88,0.76,0.8,1.93048599696404
0.86,0.76,0.62,0.84,1.86490339049792
0.84,0.92,0.68,0.76,1.70886588267904
0.94,0.9,0.6,0.74,1.90315390759544
0.9,0.82,0.8,0.82,1.93707645902107
0.98,0.84,0.78,0.72,2.15018093434529
0.96,0.88,0.7,0.64,2.10365020153445
0.98,0.74,0.64,0.74,2.24822888750512
0.94,0.84,0.74,0.82,1.96111492145663
0.92,0.92,0.66,0.72,1.87825451181619
1,0.84,0.76,0.78,2.1174116502716
0.96,0.86,0.66,0.8,1.96035813814863
0.9,0.88,0.68,0.74,1.88531372332168
0.94,0.94,0.8,0.72,1.93398574075657
0.96,0.84,0.72,0.78,2.02936094807377
0.9,0.9,0.76,0.62,1.99942176975531
0.98,0.86,0.76,0.76,2.06996625457207
0.96,0.86,0.88,0.86,1.97895417969831
0.96,0.88,0.74,0.78,1.97793411659696
0.98,0.82,0.72,0.78,2.09736937457298
0.92,0.8,0.58,0.66,2.09023644538115
0.94,0.86,0.72,0.78,1.96333180413962
0.98,0.8,0.66,0.8,2.08674083192672
0.96,0.92,0.66,0.9,1.79722720064956
0.92,0.88,0.82,0.64,2.0702114878471
0.94,0.9,0.72,0.8,1.89018125283539
0.92,0.82,0.74,0.8,1.97219063123168
0.96,0.84,0.8,0.78,2.05731291629848
1,0.82,0.74,0.66,2.2771022175375
0.98,0.86,0.76,0.74,2.0902200369265
0.96,0.76,0.68,0.66,2.28371596758371
0.98,0.84,0.66,0.82,2.00635650052125
0.96,0.94,0.7,0.74,1.91811185038572
0.98,0.8,0.62,0.72,2.15825305710249
1,0.84,0.72,0.74,2.14521810579285
0.98,0.82,0.74,0.88,2.00535288609159
0.94,0.84,0.74,0.82,1.96111492145663
0.94,0.86,0.68,0.7,2.02738477048323
0.9,0.84,0.66,0.78,1.89728489477703
0.92,0.88,0.78,0.78,1.9195593783843
0.98,0.84,0.72,0.7,2.15015551847992
0.96,0.86,0.76,0.78,2.01360281413183
0.96,0.86,0.72,0.82,1.96216913917788
1,0.74,0.7,0.76,2.28762852366503
0.9,0.9,0.66,0.66,1.92448003309445
0.96,0.94,0.76,0.8,1.88574236486846
1,0.76,0.68,0.78,2.22062418205674
0.96,0.92,0.72,0.82,1.88157540540791
0.96,0.8,0.68,0.88,1.97749753384883
0.96,0.88,0.56,0.78,1.91684630959181
