Power,combination
0.039,0.2_0.01_1.2_0.5_0.5_200_200_100
0.038,0.2_0.01_1.2_0.5_0.5_200_200_100
0.088,0.2_0.01_1.2_0.5_0.5_300_300_150
0.05,0.2_0.01_1.2_0.5_0.5_300_300_150
0.241,0.2_0.01_1.2_0.6_0.5_100_100_50
0.139,0.2_0.01_1.2_0.6_0.5_100_100_50
0.411,0.2_0.01_1.2_0.6_0.5_200_200_100
0.256,0.2_0.01_1.2_0.6_0.5_200_200_100
0.237,0.2_0.01_1.2_0.6_0.5_300_300_150
0.38,0.2_0.01_1.2_0.6_0.5_300_300_150
0.725,0.2_0.01_1.2_0.7_0.5_100_100_50
0.432,0.2_0.01_1.2_0.7_0.5_100_100_50
0.967,0.2_0.01_1.2_0.7_0.5_200_200_100
0.72,0.2_0.01_1.2_0.7_0.5_200_200_100
0.957,0.2_0.01_1.2_0.7_0.5_300_300_150
0.873,0.2_0.01_1.2_0.7_0.5_300_300_150
1,0.2_0.1_1.2_0.3_0.5_100_100_50
1,0.2_0.1_1.2_0.3_0.5_100_100_50
1,0.2_0.1_1.2_0.3_0.5_200_200_100
1,0.2_0.1_1.2_0.3_0.5_200_200_100
1,0.2_0.1_1.2_0.3_0.5_300_300_150
1,0.2_0.1_1.2_0.3_0.5_300_300_150
0.96,0.2_0.1_1.2_0.4_0.5_100_100_50
0.886,0.2_0.1_1.2_0.4_0.5_100_100_50
1,0.2_0.1_1.2_0.4_0.5_200_200_100
0.993,0.2_0.1_1.2_0.4_0.5_200_200_100
1,0.2_0.1_1.2_0.4_0.5_300_300_150
1,0.2_0.1_1.2_0.4_0.5_300_300_150
0.0470000000000001,0.2_0.1_1.2_0.5_0.5_100_100_50
0.049,0.2_0.1_1.2_0.5_0.5_100_100_50
0.044,0.2_0.1_1.2_0.5_0.5_200_200_100
0.0510000000000001,0.2_0.1_1.2_0.5_0.5_200_200_100
0.0540000000000001,0.2_0.1_1.2_0.5_0.5_300_300_150
0.048,0.2_0.1_1.2_0.5_0.5_300_300_150
0.972,0.2_0.1_1.2_0.6_0.5_100_100_50
0.85,0.2_0.1_1.2_0.6_0.5_100_100_50
0.999,0.2_0.1_1.2_0.6_0.5_200_200_100
0.989,0.2_0.1_1.2_0.6_0.5_200_200_100
1,0.2_0.1_1.2_0.6_0.5_300_300_150
0.999,0.2_0.1_1.2_0.6_0.5_300_300_150
1,0.2_0.1_1.2_0.7_0.5_100_100_50
1,0.2_0.1_1.2_0.7_0.5_100_100_50
1,0.2_0.1_1.2_0.7_0.5_200_200_100
1,0.2_0.1_1.2_0.7_0.5_200_200_100
1,0.2_0.1_1.2_0.7_0.5_300_300_150
1,0.2_0.1_1.2_0.7_0.5_300_300_150
