Power,combination
0.982,0.2_0.1_1.1_0.6_250
1,0.2_0.1_1.1_0.6_500
1,0.2_0.1_1.1_0.7_250
1,0.2_0.1_1.1_0.7_500
1,0.2_0.1_1.1_0.85_250
1,0.2_0.1_1.1_0.85_500
1,0.2_0.1_2_0.15_250
1,0.2_0.1_2_0.15_500
1,0.2_0.1_2_0.3_250
1,0.2_0.1_2_0.3_500
0.998,0.2_0.1_2_0.4_250
1,0.2_0.1_2_0.4_500
0.0550000000000001,0.2_0.1_2_0.5_250
0.0570000000000001,0.2_0.1_2_0.5_500
0.998,0.2_0.1_2_0.6_250
1,0.2_0.1_2_0.6_500
1,0.2_0.1_2_0.7_250
1,0.2_0.1_2_0.7_500
1,0.2_0.1_2_0.85_250
1,0.2_0.1_2_0.85_500
