prop_exp,prev_ne,risk,bias_mis,sd_mis,rmse_mis,bias_single,sd_single,rmse_single,power,SE_exp,sample_size,SE_AUB,SE_A_e,SE_B_given_A_e,SE_A_int_B_e,SE_B_e,SE_A_given_B_e,SE_B_given_not_A_e,SE_A_ne,SE_B_given_A_ne,SE_A_int_B_ne,SE_B_ne,SE_A_given_B_ne,SE_B_given_not_A_ne,SP_A_e,SP_B_e,SP_A_ne,SP_B_ne
0.05,0.1,0.5,-0.000310433923455977,0.0599286186990258,0.0598994513251572,-0.000562935196859626,0.0290153696363905,0.0290063213713338,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,0.5,0.00237423439465689,0.0857569946946068,0.085746981672083,0.0732099826316005,0.047556125533561,0.0872870268001339,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,0.5,9.33465669733513e-05,0.0602822057983341,0.0602521294657571,0.0697863059000634,0.0319896122071815,0.0767622331948069,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,0.5,0.00112716130750756,0.0856319048377788,0.0855964999029365,0.139631622997239,0.054270240432771,0.149797542965421,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,0.5,-0.00325710982276195,0.0610661039588667,0.0611224079046296,0.14270358456673,0.0357860692895257,0.147117895446589,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,1.2,0.0154695916221173,0.163244022737607,0.163894083522109,0.00680753139080625,0.0823056830694697,0.0825457068762711,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,1.2,0.00276012575342532,0.111906009658683,0.111884093314941,0.000674056017746727,0.0550359766700693,0.0550125814774715,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,1.2,0.0108547840432769,0.162434758223723,0.162715985585763,0.174088445155037,0.0889507697694153,0.195476632720198,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,1.2,0.00714324992742932,0.115278199885062,0.115441761615532,0.170725214508266,0.06134196113801,0.181400584974123,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,1.2,0.00611963609485766,0.161880986905786,0.161915713918085,0.346059807159751,0.103643665082848,0.361232137875269,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,1.2,0.000665604624371374,0.115195975215378,0.115140286705532,0.340493432696739,0.0700163111489953,0.34761064318098,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,2,0.03040487748819,0.251437154381977,0.25314398775435,0.00526894553940593,0.127534758915901,0.127579823656025,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,2,0.0209181076079306,0.170609547303278,0.171802436651217,0.00417452420637332,0.0856301440399019,0.0856890640576477,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,2,0.0355781257322194,0.254851245780528,0.257196445055193,0.292484972988365,0.139211380118356,0.323894871787294,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,2,0.0207768037385865,0.172024600307067,0.173189336338261,0.2879043242078,0.0956637251192312,0.303366604379807,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,2,0.015406692775974,0.244432549136486,0.24479560859741,0.573189102744534,0.1582189504142,0.594604028357515,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.05,0.1,2,0.0250046531165147,0.168101777674579,0.16986813158204,0.574657528566262,0.106672563819181,0.584464654169753,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,0.5,0.0379017628069188,0.415666105043168,0.417183504221761,0.00813735658987502,0.151989308167938,0.152131080387414,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,0.5,0.0140974555042064,0.227724747504023,0.228047013391621,0.00737146088603491,0.0973702359993637,0.0976003090738321,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,0.5,0.0376906367088458,0.365916885545958,0.367670852878011,0.0813776580548724,0.168713998458129,0.187238543288901,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,0.5,0.00533333825132354,0.224892330448246,0.224843119154338,0.0734009778428673,0.10922172018694,0.131549071926497,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,0.5,0.0777791166116428,0.707377103090584,0.711288671772395,0.156004929944778,0.164996591606045,0.227011430402624,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,0.5,0.00197041653597474,0.223275842663579,0.223172875494625,0.144049692740713,0.11367672947968,0.183466047008881,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,1.2,0.172658143677524,1.78839843493386,1.79582332864065,0.0341060245666425,0.31471605994832,0.316402233087482,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,1.2,0.0973097533117302,0.485354847749177,0.494775653195449,0.0258183157601553,0.197789555588787,0.199369438531588,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,1.2,0.236854255730668,1.05672067797779,1.08242407176314,0.206622888786542,0.325656563461373,0.385537499211998,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,1.2,0.0935464772376959,0.455989125268057,0.465262398742847,0.187471393926422,0.222094709330161,0.290555084955077,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,1.2,0.197582947768841,0.872939192095534,0.894594786209003,0.359095055370499,0.343933848695943,0.497113126539691,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,1.2,0.105246929730691,0.422591289365939,0.43529499269789,0.351721094924708,0.224939548196902,0.417438535784274,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,2,0.445461646943492,1.46113919457151,1.52683623780181,0.051815539156288,0.428693580999804,0.431600808968312,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,2,0.208518627387911,0.715549977896746,0.744969648418581,0.0249165038542007,0.290026468284829,0.290950286333905,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,2,0.515049179348086,1.5503102348746,1.63289130675612,0.34816877518491,0.464629438185543,0.580418926575922,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,2,0.216376945264987,0.7187331246622,0.750253097044197,0.321804080128184,0.32232524985615,0.455354300644324,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,2,0.398616642961378,3.07253099333387,3.09675660753925,0.649829950354985,0.545675612615085,0.848376730413445,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.01,2,0.210965835590613,0.715395867286017,0.74551058977685,0.616350214360828,0.397161902011793,0.733121699021284,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,0.5,0.000548003275135711,0.0899275464389052,0.0898842419587688,0.00142357262617254,0.0460275705113595,0.0460265713360552,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,0.5,0.00342809159645063,0.0658507747904476,0.0659070559800345,0.000314519799751944,0.0315454205464097,0.0315312125773309,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,0.5,0.00327459087607229,0.0911897592460115,0.0912029580910611,0.0719879913886922,0.048234154125831,0.0866399330262241,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,0.5,-0.00133464934087912,0.0618035788834824,0.0617870857809877,0.0713738451459347,0.0341730098072708,0.079125549448989,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,0.5,0.0051772319684712,0.0891692584586914,0.0892749081672684,0.142996891568267,0.0519295430834237,0.152125250256474,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,0.5,-0.000690218320210823,0.062955566626636,0.06292786638081,0.141163761139094,0.0356350027275726,0.145587743388342,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,1.2,0.0127564352922398,0.159489940197115,0.15991976308268,0.00481942095790133,0.0822615467937496,0.0823615319016639,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,1.2,0.0122431406819055,0.11465697420582,0.115251767908596,-0.000163663778437906,0.0578805596653384,0.0578518436509849,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,1.2,0.0197649159222348,0.171321505700174,0.172372733222143,0.18254914504323,0.0936409658301164,0.205143979212478,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,1.2,0.00696484783371831,0.116930552236361,0.117079419188861,0.169065870311905,0.0658242855682413,0.181416019795168,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,1.2,0.0139892086011901,0.164465916362241,0.16497783658575,0.344108526973626,0.0997702887378156,0.358266429826004,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,1.2,0.00604425871220715,0.115547332903795,0.11564760273529,0.345342599024936,0.0723961965239982,0.352842002549538,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,2,0.0294807610975889,0.24584269693025,0.247481935254269,0.00113490999750399,0.124873251537993,0.124815959081456,2,0.7,100_100_50,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,2,0.0175265161312392,0.168551943366989,0.169376877474095,0.00110212892104933,0.0874008851564018,0.0873641259302411,2,0.7,200_200_100,0.9,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,2,0.0374824682276391,0.237969753002699,0.240786023608633,0.290548767247033,0.135042038311312,0.320369633248741,2,0.8,100_100_50,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,2,0.0179043693394956,0.163954032424214,0.164847233112531,0.285490357940008,0.0973391365116011,0.301612627497658,2,0.8,200_200_100,0.9,0.8,0.8,0.64,0.74,0.864864864864865,0.5,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,2,0.0415746171510931,0.250669496414846,0.253970096719476,0.57538432417465,0.151783504635701,0.595048161540841,2,0.9,100_100_50,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
0.2,0.1,2,0.0125956517820103,0.169068010078447,0.169452230683658,0.575165330602534,0.107465402601806,0.585108897104406,2,0.9,200_200_100,0.9,0.9,0.8,0.72,0.72,1,0,0.7,0.8,0.56,0.76,0.736842105263158,0.666666666666667,0.99,0.95,0.99,0.95
