Power,combination
0.424,0.05_0.01_2_0.4_0.5_100_100_50_0
0.312,0.05_0.01_2_0.4_0.5_100_100_50_0.2
0.22,0.05_0.01_2_0.4_0.5_100_100_50_0.4
0.705,0.05_0.01_2_0.4_0.5_200_200_100_0
0.526,0.05_0.01_2_0.4_0.5_200_200_100_0.2
0.383,0.05_0.01_2_0.4_0.5_200_200_100_0.4
0.87,0.05_0.01_2_0.4_0.5_300_300_150_0
0.686,0.05_0.01_2_0.4_0.5_300_300_150_0.2
0.549,0.05_0.01_2_0.4_0.5_300_300_150_0.4
0.053,0.05_0.01_2_0.5_0.5_100_100_50_0
0.053,0.05_0.01_2_0.5_0.5_100_100_50_0.2
0.0550000000000001,0.05_0.01_2_0.5_0.5_100_100_50_0.4
0.041,0.05_0.01_2_0.5_0.5_200_200_100_0
0.0510000000000001,0.05_0.01_2_0.5_0.5_200_200_100_0.2
0.05,0.05_0.01_2_0.5_0.5_200_200_100_0.4
0.037,0.05_0.01_2_0.5_0.5_300_300_150_0
0.042,0.05_0.01_2_0.5_0.5_300_300_150_0.2
0.041,0.05_0.01_2_0.5_0.5_300_300_150_0.4
0.35,0.05_0.01_2_0.6_0.5_100_100_50_0
0.222,0.05_0.01_2_0.6_0.5_100_100_50_0.2
0.176,0.05_0.01_2_0.6_0.5_100_100_50_0.4
0.584,0.05_0.01_2_0.6_0.5_200_200_100_0
0.39,0.05_0.01_2_0.6_0.5_200_200_100_0.2
0.272,0.05_0.01_2_0.6_0.5_200_200_100_0.4
0.776,0.05_0.01_2_0.6_0.5_300_300_150_0
0.543,0.05_0.01_2_0.6_0.5_300_300_150_0.2
0.395,0.05_0.01_2_0.6_0.5_300_300_150_0.4
0.875,0.05_0.01_2_0.7_0.5_100_100_50_0
0.596,0.05_0.01_2_0.7_0.5_100_100_50_0.2
0.444,0.05_0.01_2_0.7_0.5_100_100_50_0.4
0.998,0.05_0.01_2_0.7_0.5_200_200_100_0
0.875,0.05_0.01_2_0.7_0.5_200_200_100_0.2
0.724,0.05_0.01_2_0.7_0.5_200_200_100_0.4
1,0.05_0.01_2_0.7_0.5_300_300_150_0
0.971,0.05_0.01_2_0.7_0.5_300_300_150_0.2
0.88,0.05_0.01_2_0.7_0.5_300_300_150_0.4
0.916,0.05_0.05_1.2_0.3_0.5_100_100_50_0
0.747,0.05_0.05_1.2_0.3_0.5_100_100_50_0.2
0.648,0.05_0.05_1.2_0.3_0.5_100_100_50_0.4
0.995,0.05_0.05_1.2_0.3_0.5_200_200_100_0
0.964,0.05_0.05_1.2_0.3_0.5_200_200_100_0.2
0.939,0.05_0.05_1.2_0.3_0.5_200_200_100_0.4
1,0.05_0.05_1.2_0.3_0.5_300_300_150_0
0.993,0.05_0.05_1.2_0.3_0.5_300_300_150_0.2
0.986,0.05_0.05_1.2_0.3_0.5_300_300_150_0.4
0.387,0.05_0.05_1.2_0.4_0.5_100_100_50_0
0.253,0.05_0.05_1.2_0.4_0.5_100_100_50_0.2
0.219,0.05_0.05_1.2_0.4_0.5_100_100_50_0.4
0.619,0.05_0.05_1.2_0.4_0.5_200_200_100_0
0.435,0.05_0.05_1.2_0.4_0.5_200_200_100_0.2
0.331,0.05_0.05_1.2_0.4_0.5_200_200_100_0.4
0.765,0.05_0.05_1.2_0.4_0.5_300_300_150_0
0.562,0.05_0.05_1.2_0.4_0.5_300_300_150_0.2
0.472,0.05_0.05_1.2_0.4_0.5_300_300_150_0.4
0.0590000000000001,0.05_0.05_1.2_0.5_0.5_100_100_50_0
0.069,0.05_0.05_1.2_0.5_0.5_100_100_50_0.2
0.0540000000000001,0.05_0.05_1.2_0.5_0.5_100_100_50_0.4
0.0600000000000001,0.05_0.05_1.2_0.5_0.5_200_200_100_0
0.0520000000000001,0.05_0.05_1.2_0.5_0.5_200_200_100_0.2
0.0520000000000001,0.05_0.05_1.2_0.5_0.5_200_200_100_0.4
0.0510000000000001,0.05_0.05_1.2_0.5_0.5_300_300_150_0
0.0600000000000001,0.05_0.05_1.2_0.5_0.5_300_300_150_0.2
0.0580000000000001,0.05_0.05_1.2_0.5_0.5_300_300_150_0.4
0.319,0.05_0.05_1.2_0.6_0.5_100_100_50_0
0.21,0.05_0.05_1.2_0.6_0.5_100_100_50_0.2
0.157,0.05_0.05_1.2_0.6_0.5_100_100_50_0.4
0.551,0.05_0.05_1.2_0.6_0.5_200_200_100_0
0.361,0.05_0.05_1.2_0.6_0.5_200_200_100_0.2
0.281,0.05_0.05_1.2_0.6_0.5_200_200_100_0.4
0.727,0.05_0.05_1.2_0.6_0.5_300_300_150_0
0.506,0.05_0.05_1.2_0.6_0.5_300_300_150_0.2
0.413,0.05_0.05_1.2_0.6_0.5_300_300_150_0.4
0.867,0.05_0.05_1.2_0.7_0.5_100_100_50_0
0.569,0.05_0.05_1.2_0.7_0.5_100_100_50_0.2
0.433,0.05_0.05_1.2_0.7_0.5_100_100_50_0.4
0.995,0.05_0.05_1.2_0.7_0.5_200_200_100_0
0.86,0.05_0.05_1.2_0.7_0.5_200_200_100_0.2
0.684,0.05_0.05_1.2_0.7_0.5_200_200_100_0.4
1,0.05_0.05_1.2_0.7_0.5_300_300_150_0
0.955,0.05_0.05_1.2_0.7_0.5_300_300_150_0.2
0.872,0.05_0.05_1.2_0.7_0.5_300_300_150_0.4
0.971,0.05_0.05_2_0.3_0.5_100_100_50_0
0.873,0.05_0.05_2_0.3_0.5_100_100_50_0.2
0.785,0.05_0.05_2_0.3_0.5_100_100_50_0.4
0.998,0.05_0.05_2_0.3_0.5_200_200_100_0
0.996,0.05_0.05_2_0.3_0.5_200_200_100_0.2
0.981,0.05_0.05_2_0.3_0.5_200_200_100_0.4
1,0.05_0.05_2_0.3_0.5_300_300_150_0
1,0.05_0.05_2_0.3_0.5_300_300_150_0.2
0.996,0.05_0.05_2_0.3_0.5_300_300_150_0.4
0.457,0.05_0.05_2_0.4_0.5_100_100_50_0
0.332,0.05_0.05_2_0.4_0.5_100_100_50_0.2
0.229,0.05_0.05_2_0.4_0.5_100_100_50_0.4
0.711,0.05_0.05_2_0.4_0.5_200_200_100_0
0.538,0.05_0.05_2_0.4_0.5_200_200_100_0.2
0.428,0.05_0.05_2_0.4_0.5_200_200_100_0.4
0.87,0.05_0.05_2_0.4_0.5_300_300_150_0
0.7,0.05_0.05_2_0.4_0.5_300_300_150_0.2
0.577,0.05_0.05_2_0.4_0.5_300_300_150_0.4
0.048,0.05_0.05_2_0.5_0.5_100_100_50_0
0.0560000000000001,0.05_0.05_2_0.5_0.5_100_100_50_0.2
0.053,0.05_0.05_2_0.5_0.5_100_100_50_0.4
0.0600000000000001,0.05_0.05_2_0.5_0.5_200_200_100_0
0.0620000000000001,0.05_0.05_2_0.5_0.5_200_200_100_0.2
0.072,0.05_0.05_2_0.5_0.5_200_200_100_0.4
0.049,0.05_0.05_2_0.5_0.5_300_300_150_0
0.044,0.05_0.05_2_0.5_0.5_300_300_150_0.2
0.041,0.05_0.05_2_0.5_0.5_300_300_150_0.4
0.361,0.05_0.05_2_0.6_0.5_100_100_50_0
0.245,0.05_0.05_2_0.6_0.5_100_100_50_0.2
0.168,0.05_0.05_2_0.6_0.5_100_100_50_0.4
0.636,0.05_0.05_2_0.6_0.5_200_200_100_0
0.392,0.05_0.05_2_0.6_0.5_200_200_100_0.2
0.311,0.05_0.05_2_0.6_0.5_200_200_100_0.4
0.83,0.05_0.05_2_0.6_0.5_300_300_150_0
0.544,0.05_0.05_2_0.6_0.5_300_300_150_0.2
0.418,0.05_0.05_2_0.6_0.5_300_300_150_0.4
0.87,0.05_0.05_2_0.7_0.5_100_100_50_0
0.618,0.05_0.05_2_0.7_0.5_100_100_50_0.2
0.452,0.05_0.05_2_0.7_0.5_100_100_50_0.4
0.999,0.05_0.05_2_0.7_0.5_200_200_100_0
0.903,0.05_0.05_2_0.7_0.5_200_200_100_0.2
0.746,0.05_0.05_2_0.7_0.5_200_200_100_0.4
1,0.05_0.05_2_0.7_0.5_300_300_150_0
0.974,0.05_0.05_2_0.7_0.5_300_300_150_0.2
0.905,0.05_0.05_2_0.7_0.5_300_300_150_0.4
0.904,0.05_0.1_1.2_0.3_0.5_100_100_50_0
0.763,0.05_0.1_1.2_0.3_0.5_100_100_50_0.2
0.702,0.05_0.1_1.2_0.3_0.5_100_100_50_0.4
0.995,0.05_0.1_1.2_0.3_0.5_200_200_100_0
0.965,0.05_0.1_1.2_0.3_0.5_200_200_100_0.2
0.949,0.05_0.1_1.2_0.3_0.5_200_200_100_0.4
1,0.05_0.1_1.2_0.3_0.5_300_300_150_0
0.998,0.05_0.1_1.2_0.3_0.5_300_300_150_0.2
0.987,0.05_0.1_1.2_0.3_0.5_300_300_150_0.4
0.397,0.05_0.1_1.2_0.4_0.5_100_100_50_0
0.27,0.05_0.1_1.2_0.4_0.5_100_100_50_0.2
0.21,0.05_0.1_1.2_0.4_0.5_100_100_50_0.4
0.642,0.05_0.1_1.2_0.4_0.5_200_200_100_0
0.442,0.05_0.1_1.2_0.4_0.5_200_200_100_0.2
0.347,0.05_0.1_1.2_0.4_0.5_200_200_100_0.4
0.804,0.05_0.1_1.2_0.4_0.5_300_300_150_0
0.634,0.05_0.1_1.2_0.4_0.5_300_300_150_0.2
0.5,0.05_0.1_1.2_0.4_0.5_300_300_150_0.4
0.0620000000000001,0.05_0.1_1.2_0.5_0.5_100_100_50_0
0.0590000000000001,0.05_0.1_1.2_0.5_0.5_100_100_50_0.2
0.0550000000000001,0.05_0.1_1.2_0.5_0.5_100_100_50_0.4
0.0560000000000001,0.05_0.1_1.2_0.5_0.5_200_200_100_0
0.0520000000000001,0.05_0.1_1.2_0.5_0.5_200_200_100_0.2
0.0580000000000001,0.05_0.1_1.2_0.5_0.5_200_200_100_0.4
0.05,0.05_0.1_1.2_0.5_0.5_300_300_150_0
0.049,0.05_0.1_1.2_0.5_0.5_300_300_150_0.2
0.0540000000000001,0.05_0.1_1.2_0.5_0.5_300_300_150_0.4
0.36,0.05_0.1_1.2_0.6_0.5_100_100_50_0
0.203,0.05_0.1_1.2_0.6_0.5_100_100_50_0.2
0.151,0.05_0.1_1.2_0.6_0.5_100_100_50_0.4
0.615,0.05_0.1_1.2_0.6_0.5_200_200_100_0
0.389,0.05_0.1_1.2_0.6_0.5_200_200_100_0.2
0.303,0.05_0.1_1.2_0.6_0.5_200_200_100_0.4
0.77,0.05_0.1_1.2_0.6_0.5_300_300_150_0
0.521,0.05_0.1_1.2_0.6_0.5_300_300_150_0.2
0.392,0.05_0.1_1.2_0.6_0.5_300_300_150_0.4
0.869,0.05_0.1_1.2_0.7_0.5_100_100_50_0
0.594,0.05_0.1_1.2_0.7_0.5_100_100_50_0.2
0.435,0.05_0.1_1.2_0.7_0.5_100_100_50_0.4
0.989,0.05_0.1_1.2_0.7_0.5_200_200_100_0
0.867,0.05_0.1_1.2_0.7_0.5_200_200_100_0.2
0.729,0.05_0.1_1.2_0.7_0.5_200_200_100_0.4
1,0.05_0.1_1.2_0.7_0.5_300_300_150_0
0.962,0.05_0.1_1.2_0.7_0.5_300_300_150_0.2
0.859,0.05_0.1_1.2_0.7_0.5_300_300_150_0.4
0.971,0.05_0.1_2_0.3_0.5_100_100_50_0
0.883,0.05_0.1_2_0.3_0.5_100_100_50_0.2
0.824,0.05_0.1_2_0.3_0.5_100_100_50_0.4
0.999,0.05_0.1_2_0.3_0.5_200_200_100_0
0.996,0.05_0.1_2_0.3_0.5_200_200_100_0.2
0.98,0.05_0.1_2_0.3_0.5_200_200_100_0.4
1,0.05_0.1_2_0.3_0.5_300_300_150_0
1,0.05_0.1_2_0.3_0.5_300_300_150_0.2
0.999,0.05_0.1_2_0.3_0.5_300_300_150_0.4
0.476,0.05_0.1_2_0.4_0.5_100_100_50_0
0.371,0.05_0.1_2_0.4_0.5_100_100_50_0.2
0.258,0.05_0.1_2_0.4_0.5_100_100_50_0.4
0.73,0.05_0.1_2_0.4_0.5_200_200_100_0
0.575,0.05_0.1_2_0.4_0.5_200_200_100_0.2
0.466,0.05_0.1_2_0.4_0.5_200_200_100_0.4
0.891,0.05_0.1_2_0.4_0.5_300_300_150_0
0.747,0.05_0.1_2_0.4_0.5_300_300_150_0.2
0.612,0.05_0.1_2_0.4_0.5_300_300_150_0.4
0.043,0.05_0.1_2_0.5_0.5_100_100_50_0
0.0550000000000001,0.05_0.1_2_0.5_0.5_100_100_50_0.2
0.0540000000000001,0.05_0.1_2_0.5_0.5_100_100_50_0.4
0.0540000000000001,0.05_0.1_2_0.5_0.5_200_200_100_0
0.067,0.05_0.1_2_0.5_0.5_200_200_100_0.2
0.0570000000000001,0.05_0.1_2_0.5_0.5_200_200_100_0.4
0.05,0.05_0.1_2_0.5_0.5_300_300_150_0
0.045,0.05_0.1_2_0.5_0.5_300_300_150_0.2
0.065,0.05_0.1_2_0.5_0.5_300_300_150_0.4
0.414,0.05_0.1_2_0.6_0.5_100_100_50_0
0.237,0.05_0.1_2_0.6_0.5_100_100_50_0.2
0.213,0.05_0.1_2_0.6_0.5_100_100_50_0.4
0.66,0.05_0.1_2_0.6_0.5_200_200_100_0
0.455,0.05_0.1_2_0.6_0.5_200_200_100_0.2
0.306,0.05_0.1_2_0.6_0.5_200_200_100_0.4
0.847,0.05_0.1_2_0.6_0.5_300_300_150_0
0.577,0.05_0.1_2_0.6_0.5_300_300_150_0.2
0.464,0.05_0.1_2_0.6_0.5_300_300_150_0.4
0.913,0.05_0.1_2_0.7_0.5_100_100_50_0
0.643,0.05_0.1_2_0.7_0.5_100_100_50_0.2
0.493,0.05_0.1_2_0.7_0.5_100_100_50_0.4
0.996,0.05_0.1_2_0.7_0.5_200_200_100_0
0.904,0.05_0.1_2_0.7_0.5_200_200_100_0.2
0.774,0.05_0.1_2_0.7_0.5_200_200_100_0.4
1,0.05_0.1_2_0.7_0.5_300_300_150_0
0.984,0.05_0.1_2_0.7_0.5_300_300_150_0.2
0.908,0.05_0.1_2_0.7_0.5_300_300_150_0.4
0.889,0.2_0.01_1.2_0.3_0.5_100_100_50_0
0.711,0.2_0.01_1.2_0.3_0.5_100_100_50_0.2
0.645,0.2_0.01_1.2_0.3_0.5_100_100_50_0.4
0.992,0.2_0.01_1.2_0.3_0.5_200_200_100_0
0.947,0.2_0.01_1.2_0.3_0.5_200_200_100_0.2
0.902,0.2_0.01_1.2_0.3_0.5_200_200_100_0.4
1,0.2_0.01_1.2_0.3_0.5_300_300_150_0
0.996,0.2_0.01_1.2_0.3_0.5_300_300_150_0.2
0.981,0.2_0.01_1.2_0.3_0.5_300_300_150_0.4
0.328,0.2_0.01_1.2_0.4_0.5_100_100_50_0
0.245,0.2_0.01_1.2_0.4_0.5_100_100_50_0.2
0.2,0.2_0.01_1.2_0.4_0.5_100_100_50_0.4
0.579,0.2_0.01_1.2_0.4_0.5_200_200_100_0
0.432,0.2_0.01_1.2_0.4_0.5_200_200_100_0.2
0.335,0.2_0.01_1.2_0.4_0.5_200_200_100_0.4
0.754,0.2_0.01_1.2_0.4_0.5_300_300_150_0
0.558,0.2_0.01_1.2_0.4_0.5_300_300_150_0.2
0.486,0.2_0.01_1.2_0.4_0.5_300_300_150_0.4
0.065,0.2_0.01_1.2_0.5_0.5_100_100_50_0
0.053,0.2_0.01_1.2_0.5_0.5_100_100_50_0.2
0.0470000000000001,0.2_0.01_1.2_0.5_0.5_100_100_50_0.4
0.0659999999999999,0.2_0.01_1.2_0.5_0.5_200_200_100_0
0.0540000000000001,0.2_0.01_1.2_0.5_0.5_200_200_100_0.2
0.0590000000000001,0.2_0.01_1.2_0.5_0.5_200_200_100_0.4
0.0590000000000001,0.2_0.01_1.2_0.5_0.5_300_300_150_0
0.0520000000000001,0.2_0.01_1.2_0.5_0.5_300_300_150_0.2
0.0580000000000001,0.2_0.01_1.2_0.5_0.5_300_300_150_0.4
0.334,0.2_0.01_1.2_0.6_0.5_100_100_50_0
0.202,0.2_0.01_1.2_0.6_0.5_100_100_50_0.2
0.153,0.2_0.01_1.2_0.6_0.5_100_100_50_0.4
0.543,0.2_0.01_1.2_0.6_0.5_200_200_100_0
0.335,0.2_0.01_1.2_0.6_0.5_200_200_100_0.2
0.244,0.2_0.01_1.2_0.6_0.5_200_200_100_0.4
0.745,0.2_0.01_1.2_0.6_0.5_300_300_150_0
0.481,0.2_0.01_1.2_0.6_0.5_300_300_150_0.2
0.357,0.2_0.01_1.2_0.6_0.5_300_300_150_0.4
0.833,0.2_0.01_1.2_0.7_0.5_100_100_50_0
0.539,0.2_0.01_1.2_0.7_0.5_100_100_50_0.2
0.389,0.2_0.01_1.2_0.7_0.5_100_100_50_0.4
0.995,0.2_0.01_1.2_0.7_0.5_200_200_100_0
0.852,0.2_0.01_1.2_0.7_0.5_200_200_100_0.2
0.685,0.2_0.01_1.2_0.7_0.5_200_200_100_0.4
0.999,0.2_0.01_1.2_0.7_0.5_300_300_150_0
0.948,0.2_0.01_1.2_0.7_0.5_300_300_150_0.2
0.844,0.2_0.01_1.2_0.7_0.5_300_300_150_0.4
0.951,0.2_0.01_2_0.3_0.5_100_100_50_0
0.845,0.2_0.01_2_0.3_0.5_100_100_50_0.2
0.776,0.2_0.01_2_0.3_0.5_100_100_50_0.4
0.998,0.2_0.01_2_0.3_0.5_200_200_100_0
0.993,0.2_0.01_2_0.3_0.5_200_200_100_0.2
0.973,0.2_0.01_2_0.3_0.5_200_200_100_0.4
1,0.2_0.01_2_0.3_0.5_300_300_150_0
1,0.2_0.01_2_0.3_0.5_300_300_150_0.2
0.997,0.2_0.01_2_0.3_0.5_300_300_150_0.4
0.407,0.2_0.01_2_0.4_0.5_100_100_50_0
0.301,0.2_0.01_2_0.4_0.5_100_100_50_0.2
0.229,0.2_0.01_2_0.4_0.5_100_100_50_0.4
0.691,0.2_0.01_2_0.4_0.5_200_200_100_0
0.505,0.2_0.01_2_0.4_0.5_200_200_100_0.2
0.427,0.2_0.01_2_0.4_0.5_200_200_100_0.4
0.854,0.2_0.01_2_0.4_0.5_300_300_150_0
0.68,0.2_0.01_2_0.4_0.5_300_300_150_0.2
0.541,0.2_0.01_2_0.4_0.5_300_300_150_0.4
0.0600000000000001,0.2_0.01_2_0.5_0.5_100_100_50_0
0.0610000000000001,0.2_0.01_2_0.5_0.5_100_100_50_0.2
0.0600000000000001,0.2_0.01_2_0.5_0.5_100_100_50_0.4
0.049,0.2_0.01_2_0.5_0.5_200_200_100_0
0.0570000000000001,0.2_0.01_2_0.5_0.5_200_200_100_0.2
0.0510000000000001,0.2_0.01_2_0.5_0.5_200_200_100_0.4
0.0470000000000001,0.2_0.01_2_0.5_0.5_300_300_150_0
0.0470000000000001,0.2_0.01_2_0.5_0.5_300_300_150_0.2
0.0620000000000001,0.2_0.01_2_0.5_0.5_300_300_150_0.4
0.32,0.2_0.01_2_0.6_0.5_100_100_50_0
0.21,0.2_0.01_2_0.6_0.5_100_100_50_0.2
0.2,0.2_0.01_2_0.6_0.5_100_100_50_0.4
0.613,0.2_0.01_2_0.6_0.5_200_200_100_0
0.415,0.2_0.01_2_0.6_0.5_200_200_100_0.2
0.276,0.2_0.01_2_0.6_0.5_200_200_100_0.4
0.796,0.2_0.01_2_0.6_0.5_300_300_150_0
0.525,0.2_0.01_2_0.6_0.5_300_300_150_0.2
0.41,0.2_0.01_2_0.6_0.5_300_300_150_0.4
0.901,0.2_0.01_2_0.7_0.5_100_100_50_0
0.593,0.2_0.01_2_0.7_0.5_100_100_50_0.2
0.449,0.2_0.01_2_0.7_0.5_100_100_50_0.4
0.994,0.2_0.01_2_0.7_0.5_200_200_100_0
0.893,0.2_0.01_2_0.7_0.5_200_200_100_0.2
0.732,0.2_0.01_2_0.7_0.5_200_200_100_0.4
1,0.2_0.01_2_0.7_0.5_300_300_150_0
0.966,0.2_0.01_2_0.7_0.5_300_300_150_0.2
0.876,0.2_0.01_2_0.7_0.5_300_300_150_0.4
0.899,0.2_0.05_1.2_0.3_0.5_100_100_50_0
0.764,0.2_0.05_1.2_0.3_0.5_100_100_50_0.2
0.686,0.2_0.05_1.2_0.3_0.5_100_100_50_0.4
0.995,0.2_0.05_1.2_0.3_0.5_200_200_100_0
0.962,0.2_0.05_1.2_0.3_0.5_200_200_100_0.2
0.929,0.2_0.05_1.2_0.3_0.5_200_200_100_0.4
1,0.2_0.05_1.2_0.3_0.5_300_300_150_0
0.998,0.2_0.05_1.2_0.3_0.5_300_300_150_0.2
0.985,0.2_0.05_1.2_0.3_0.5_300_300_150_0.4
0.344,0.2_0.05_1.2_0.4_0.5_100_100_50_0
0.271,0.2_0.05_1.2_0.4_0.5_100_100_50_0.2
0.202,0.2_0.05_1.2_0.4_0.5_100_100_50_0.4
0.603,0.2_0.05_1.2_0.4_0.5_200_200_100_0
0.424,0.2_0.05_1.2_0.4_0.5_200_200_100_0.2
0.334,0.2_0.05_1.2_0.4_0.5_200_200_100_0.4
0.788,0.2_0.05_1.2_0.4_0.5_300_300_150_0
0.588,0.2_0.05_1.2_0.4_0.5_300_300_150_0.2
0.489,0.2_0.05_1.2_0.4_0.5_300_300_150_0.4
0.0659999999999999,0.2_0.05_1.2_0.5_0.5_100_100_50_0
0.049,0.2_0.05_1.2_0.5_0.5_100_100_50_0.2
0.0550000000000001,0.2_0.05_1.2_0.5_0.5_100_100_50_0.4
0.049,0.2_0.05_1.2_0.5_0.5_200_200_100_0
0.0570000000000001,0.2_0.05_1.2_0.5_0.5_200_200_100_0.2
0.041,0.2_0.05_1.2_0.5_0.5_200_200_100_0.4
0.0659999999999999,0.2_0.05_1.2_0.5_0.5_300_300_150_0
0.0510000000000001,0.2_0.05_1.2_0.5_0.5_300_300_150_0.2
0.0470000000000001,0.2_0.05_1.2_0.5_0.5_300_300_150_0.4
0.336,0.2_0.05_1.2_0.6_0.5_100_100_50_0
0.19,0.2_0.05_1.2_0.6_0.5_100_100_50_0.2
0.171,0.2_0.05_1.2_0.6_0.5_100_100_50_0.4
0.566,0.2_0.05_1.2_0.6_0.5_200_200_100_0
0.354,0.2_0.05_1.2_0.6_0.5_200_200_100_0.2
0.259,0.2_0.05_1.2_0.6_0.5_200_200_100_0.4
0.743,0.2_0.05_1.2_0.6_0.5_300_300_150_0
0.517,0.2_0.05_1.2_0.6_0.5_300_300_150_0.2
0.373,0.2_0.05_1.2_0.6_0.5_300_300_150_0.4
0.863,0.2_0.05_1.2_0.7_0.5_100_100_50_0
0.554,0.2_0.05_1.2_0.7_0.5_100_100_50_0.2
0.428,0.2_0.05_1.2_0.7_0.5_100_100_50_0.4
0.992,0.2_0.05_1.2_0.7_0.5_200_200_100_0
0.864,0.2_0.05_1.2_0.7_0.5_200_200_100_0.2
0.7,0.2_0.05_1.2_0.7_0.5_200_200_100_0.4
1,0.2_0.05_1.2_0.7_0.5_300_300_150_0
0.963,0.2_0.05_1.2_0.7_0.5_300_300_150_0.2
0.872,0.2_0.05_1.2_0.7_0.5_300_300_150_0.4
0.965,0.2_0.05_2_0.3_0.5_100_100_50_0
0.872,0.2_0.05_2_0.3_0.5_100_100_50_0.2
0.806,0.2_0.05_2_0.3_0.5_100_100_50_0.4
1,0.2_0.05_2_0.3_0.5_200_200_100_0
0.993,0.2_0.05_2_0.3_0.5_200_200_100_0.2
0.971,0.2_0.05_2_0.3_0.5_200_200_100_0.4
1,0.2_0.05_2_0.3_0.5_300_300_150_0
1,0.2_0.05_2_0.3_0.5_300_300_150_0.2
0.998,0.2_0.05_2_0.3_0.5_300_300_150_0.4
0.47,0.2_0.05_2_0.4_0.5_100_100_50_0
0.317,0.2_0.05_2_0.4_0.5_100_100_50_0.2
0.261,0.2_0.05_2_0.4_0.5_100_100_50_0.4
0.739,0.2_0.05_2_0.4_0.5_200_200_100_0
0.538,0.2_0.05_2_0.4_0.5_200_200_100_0.2
0.429,0.2_0.05_2_0.4_0.5_200_200_100_0.4
0.867,0.2_0.05_2_0.4_0.5_300_300_150_0
0.722,0.2_0.05_2_0.4_0.5_300_300_150_0.2
0.561,0.2_0.05_2_0.4_0.5_300_300_150_0.4
0.0570000000000001,0.2_0.05_2_0.5_0.5_100_100_50_0
0.0590000000000001,0.2_0.05_2_0.5_0.5_100_100_50_0.2
